no;brand;name;old_price;new_price;ml;concentration;department;scents;base_note;middle_note;item_rating;seller;seller_rating;num_seller_ratings;cluster
248;mancera;cedrat boise;413;253.0;120.0;edp;unisex;aromaticcitrus;leatheroakmossvanillawoody notes;patchouli leaves;5.0;starperfume;3.07;537.0;1
251;givenchy;blue label;380;143.85;100.0;edt;men;spicy;cedar olibanum vetiver;cardamom lavender pepper;4.08;hadayiq baris;3.08;122.0;0
252;dior;joy;500;360.0;90.0;edp;women;woody;sandalwood cedar wood vanilla caramel musk woody accords;jasmine rose muget freesia cinnamon;4.0;golden perfumes;3.06;113.0;0
253;lalique;encre noire;140;136.0;100.0;edt;men;woody;musk cashmere wood;haitian bourbon vetiver;4.05;abu al tayyeb perfumes;3.06;76.0;0
254;calvin klein;ck one;220;98.0;100.0;edt;unisex;citrus;sandalwood amber musk cedar oakmoss green tea green accord;nutmeg violet orris root lilyofthevalley rose freesia jasmine;4.05;spicebomb;3.08;66.0;0
255;paco rabanne;black xs;429;310.0;100.0;edt;men;woody;black amber patchouli;praline cinnamon;4.03;parfumestor;3.09;61.0;0
256;azzaro;pour homme;225;133.0;100.0;edt;men;woody;leather tonka bean amber musk oakmoss;sandalwood juniper berries patchouli vetiver cedar cardamom;5.0;instant;3.07;44.0;0
257;cerruti;cerruti;117;117.0;100.0;edt;men;floral;musk sandalwood patchouli oakmoss cedar pepper pine tree;vetiver ylangylang rose lilyofthevalley cassia;1.0;london store;3.07;23.0;0
258;rasasi;relation;126;55.0;50.0;edp;women;fresh;musk vanilla;bulgarian rose lilac jasmine;5.0;willow flower;4.03;5.0;0
259;escada;magnetism;395;138.95;75.0;edp;women;arabian;sandalwood amber patchouli musk benzoin caramel vetiver vanilla;magnolia iris green leaves freesia basil jasmine caraway heliotrope lilyofthevalley rose almond blossom;5.0;noon;4.02;98.1;0
261;dorall collection;eventful;29;8.03;100.0;edt;women;woody;musk;rose ylang ylang;4.05;bag;3.07;14.1;0
263;versace;lhomme;185;145.0;100.0;edt;men;citrus;amberlabdanumleathermusktonka beansvanilla;carnationcedarcinnamonjasminepatchoulirosesandalwood;4.02;amlaq;3.09;135.0;0
265;burberry;burberry bl;699;255.85;90.0;edt;women;floral;amber patchouli;candied rose peach nectar;5.0;amlaq;3.09;135.0;0
266;davidoff;cool water;360;76.95;125.0;edt;men;woody;amber cedar musk oakmoss tobacco;geranium jasmine neroli sandalwood;4.05;hadayiq baris;3.08;122.0;0
267;joop;go;175;103.95;100.0;edt;men;fresh;musk balsam fir;cypress violet bourbon geranium;4.04;abu al tayyeb perfumes;3.06;111.0;0
268;jacques bogart;silver scent;140;55.0;100.0;edt;men;arabian;vetiver litchi tonka bean teak wood;cardamom rosemary nutmeg lavender coriander geranium;4.05;lady style;4.03;88.0;0
269;paris hilton;fairy dust;94;94.0;100.0;edp;women;floral;vanilla musk pacsuli;peachgardenialotus;3.07;fajrperfume;3.08;23.0;0
270;prive;windsor;39;29.95;100.0;edp;women;fruity;vanilla blackberry amber;jasmine magnalio orange bloosm;3.0;vipparfume;4.01;5.0;0
271;narciso rodriguez;narciso;591;284.95;90.0;edp;women;floral;vetiver white cedar extract cedar;musk gardenia white rose;5.0;noon;4.02;98.1;0
273;jimmy choo;jimmy;329;185.0;100.0;edt;men;fruity;amber patchouli suede;geranium pineapple leaf pink pepper;4.04;starperfume;3.09;537.0;1
274;montblanc;explorer;12;9.05;2.0;edp;men;woody;vetiver leather cedarwood;patchouli mahonial ambrofix;4.08;princess beauty;3.08;467.0;1
278;ferrari;scuderia red;218;96.65;125.0;edt;men;fruity;cedar sandalwood moss vanilla;jasmine geranium orris nutmeg;5.0;amlaq;3.09;135.0;0
279;jacomo;silences;158;143.95;100.0;edp;women;floral;woodymusky;danmask roseirisnarcissus;5.0;amlaq;3.09;135.0;0
280;jil sander;jil sander;310;175.0;125.0;edt;men;spicy;oakmoss cedar nutmeg woody notes;carnation geranium cinnamon patchouli;5.0;hadayiq baris;3.08;122.0;0
282;guess;marciano;108.95;108.95;100.0;edp;women;floral;powdery vanilla musk woody accord;floral rhythm peony pink honeysuckle intensively clean sweet jasmine;5.0;luxury;412.0;7.0;2
283;joop;homme;170;57.0;125.0;edt;men;citrus;patchouli sandalwood tonka beans vanilla;cardamom cinnamon heliotrope jasmine lily valley;4.02;cute shop;3.07;98.0;0
285;hugo boss;hugo boss;214;95.0;125.0;edt;men;fresh;patchouli fir cedar;carnation sage geranium jasmine;4.05;cute shop;4.02;425.0;1
286;mini collection;mini collection;10;10.0;25.0;edp;unisex;musk;wood;vanilla;5.0;nuna;3.09;266.0;1
288;hugo boss;hugo;395;115.0;125.0;edt;men;aromatic;cedar wood fir patchouli;carnation geranium jasmine sage;4.02;grass gulf;3.05;135.0;0
289;calvin klein;one shock;177;102.0;200.0;edt;men;spicy;amber patchouli woodsy notes musk;cardamom pepper basil osmanthus;4.07;amlaq;3.09;135.0;0
291;giorgio armani;eau de cedre;1204;470.0;100.0;edt;men;woody;suede cedar essence black tea woody notes;violet leaf cardamom cumin;4.07;moon light;3.08;76.0;0
292;mancera;red tobacco;590;340.0;120.0;edp;men;woody;precious tobacco amber woody notes vetiver vanilla pods white musk;patchouli leaves jasmine;4.07;faces;4.02;61.0;0
293;jean paul gaultier;scandal;622;350.0;80.0;edp;women;floral;sandalwood caramel beeswax patchouli;honey peach orange blossom jasmine gardenia;5.0;faces;3.09;61.0;0
296;calvin klein;escape;184;94.95;100.0;edp;women;oriental;vanilla musk cedar sandalwood oakmoss amber vetiver;carnation rose peach lily valley jasmine cloves;5.0;noon;4.02;98.1;0
297;dorall collection;dionysus;39;10.06;100.0;edt;men;floral;aromatic cedarwood tonka amber vetiver;ozonic tones geranium violet cool eucalyptus crisp green apple;3.0;bag;3.07;14.1;0
298;genie;collection;43;17.08;40.0;edp;women;fruity;vegetal amber musk mahogany;magnolia lotus peony;4.08;parisian store;3.09;425.0;1
299;lancome;la vie est belle;560;217.0;75.0;edp;women;vanilla;patchouli praline tonka beans vanilla;iris jasmine orange tree blossom;4.04;alnajm;3.07;347.0;1
301;versace;oud noir;500;260.0;100.0;edp;men;woody;agarwood patchouli leatherwood;cardamom saffron olibanum;4.05;lady style;4.02;124.0;0
302;roberto cavalli;cavalli;110;110.0;75.0;edp;women;arabian;benzoin tonka bean vanilla;african orange flower;5.0;hadayiq baris;3.08;122.0;0
304;carolina herrera;prive;425;140.0;100.0;edt;men;aromatic;leather benzoin tonka;luxurious notes whiskey;4.03;perfume ms;3.08;66.0;0
308;lattafa;velvet oud;85;56.75;100.0;edp;unisex;floral;sandalwood tonka bean amber patchouli musk oakmoss cedar tobacco;pine tree honey orris root jasmine caraway petitgrain lilyofthevalley rose brazilian rosewood incense;4.0;noon;4.02;98.1;0
311;rochas;secret de rochas;145;67.0;100.0;edp;women;fruity;oakmoss sandalwood civet cedarwood musk orris tonka bean;osmanthus jasmine;3.0;kozma;4.04;337.0;1
312;jennifer lopez;live luxe;168;95.0;100.0;edp;women;fresh;diamond musk soft musk;muguet petals exotic amethyst freesia;5.0;neo lek;3.05;88.0;0
313;guerlain;mon florale;635;319.0;100.0;edp;women;floral;vanilla iris sandalwood;floral notes peony jasmine sambac ylangylang neroli peach lilyofthevalley;4.08;faces;3.09;61.0;0
314;gucci;guilty intense;330;224.0;90.0;edt;men;floral;patchouli virginia cedar amber;african orange flower neroli;4.04;flower;3.09;33.0;0
315;prada;milano infusion diris;500;338.0;100.0;edp;women;woody;incense benzoin;iris cedar vetiver;5.0;shopping life;4.02;20.0;0
316;michael kors;kors;419;273.0;100.0;edp;women;floral;musk cashmere wood vetiver;tuberose iris peony orris root arum lily;5.0;beautiful live;4.02;7.0;0
318;ajmal;teenz;134;74.85;50.0;edp;women;floral;floral fruity musky;fruity musky;4.05;noon;4.02;98.1;0
319;ted lapidus;creation;162;162.0;100.0;edt;women;fruity;amber musk sandalwood veti;gardenia jasmine tuberose daffodil rose ylangylang;4.03;kaya;4.03;4.0;0
320;bvlgari;goldea;615;200.0;90.0;edp;women;arabian;muskamberpatchoulipapyrus;ylangylang jasmine musk;4.05;beuatyone;3.09;347.0;1
321;revlon;charlie blue;44;34.0;100.0;edt;women;woody;mix sandalwood oakmoss;jasmine muguet rose ylangylang;4.02;attractive perfume;3.05;244.0;0
324;gucci;premiere;570;292.95;75.0;edp;women;floral;patchouli sandalwood;orange blossom musk;2.0;amlaq;3.09;135.0;0
325;chanel;allure homme sport edt;800;423.0;100.0;edp;men;citrus;tonka bean atlas cedar vetiver white musk pepper;cedarnerolipepper;5.0;hadayiq baris;3.08;122.0;0
326;bvlgari;aqva marine pour homme;331;163.95;100.0;edt;men;citrus;virginia cedar amber;seaweed rosemary water notes;4.08;hadayiq baris;3.08;122.0;0
327;versace;dylan blue;77;38.0;5.0;edt;men;arabian;musk tonka bean incense saffron;violet leaves papyrus wood patchouli black pepper ambergris;4.02;neo lek;3.05;88.0;0
328;jacques bogart;silver scent;140;55.0;100.0;edt;men;arabian;vetiver litchi tonka bean teak wood;cardamom rosemary nutmeg lavender coriander geranium;4.05;lady style;3.06;88.0;0
331;bvlgari;omnia crystalline;504;279.0;65.0;edt;women;woody;white sandalwood benzoin siam musks;lotus flower orris concrete heliotrope;5.0;kaya;4.03;4.0;0
332;lancome;idle ed;0,649305556;0.649305556;2.0;edt;women;floral;vanilla amber musk patchouli;jasmine geranium neroli ylangylang;5.0;princess beauty;3.08;467.0;1
333;ard al zaafaran;oud sharqia;65;18.04;80.0;edp;unisex;arabian;sweet wood;citric;4.04;kingperfume;4.02;450.0;1
336;calvin klein;reveal;427;169.0;100.0;edp;women;floral;vetiver sandalwood cashmere musk;powdery iris ambergris;4.04;faces;3.06;61.0;0
338;lanvin;lanvin;139;113.0;100.0;edt;men;woody;sandalwood amber musk vanilla;pepper mint sage cardamom;5.0;chansles;3.09;33.0;0
340;britney spears;fantasy;314;99.0;100.0;edp;women;floral;creamy musk orris root sensual woods;cupcake jasmine white chocolate orchid;4.05;noon;4.02;98.1;0
341;elie saab;royal;711;239.75;90.0;edp;women;floral;indonesian patchouli essence indian sandalwood amber vanilla;turkish rose absolute bulgarian rose absolute lebanese neroli;5.0;noon;4.02;98.1;0
345;hugo boss;hugo;395;115.0;125.0;edt;men;aromatic;cedar wood fir patchouli;carnation geranium jasmine sage;4.02;grass gulf;3.07;135.0;0
346;calvin klein;euphoria intense;99.95;99.95;100.0;edt;men;spicy;amber patchouli agarwood myrrh labdanun;black basil sage cedar vetiver;5.0;hadayiq baris;3.08;122.0;0
347;montblanc;legend spirit;342;140.0;100.0;edt;men;citrus;white musk white woods cashmere wood oakmoss;water notes lavender cardamom;4.07;hadayiq baris;3.08;122.0;0
348;parfums de marly;pegasus;914;245.0;125.0;edt;men;citrus;ambergris musk;iris orange blossom;4.05;hadayiq baris;3.08;122.0;0
350;trussardi;uomo;260;143.75;100.0;edt;men;floral;patchoulioak mossleather;geraniumvioletclary sage;4.01;parvant store;3.08;76.0;0
351;loewe;esencia pour homme;514;177.0;150.0;edt;men;woody;tonka bean leather sandalwood fir amber patchouli musk oakmoss vetiver cedar styrax;clary sage nutmeg basil jasmine neroli lilyofthevalley rose pine tree needles geranium black currant;5.0;pinch perfum;4.02;32.0;0
352;calvin klein;escape;184;94.95;100.0;edp;women;oriental;vanilla musk cedar sandalwood oakmoss amber vetiver;carnation rose peach lily valley jasmine cloves;5.0;noon;4.02;98.1;0
354;fendi;furiosa;207;101.85;50.0;edp;women;floral;amber incense guaiac wood;jasmine violaciocca flower gardenia;4.06;noon;4.02;98.1;0
357;miu miu;miu miu;515;249.95;100.0;edp;women;floral;akigalawood;green notes jasmine rose;5.0;noon;4.02;98.1;0
358;givenchy;linterdit;446;228.0;50.0;edp;women;floral;vetiver patchouli ambroxan vanilla;orange blossom jasmine tuberose;5.0;brand land;43.0;4.0;0
360;estee lauder;white linen;214;214.0;60.0;edp;women;arabian;vetiver sandalwood amber benzoin tonka bean honey oakmoss;carnation iris jasmine hyacinth ylangylang rose lilyofthevalley violet lilac orchid orris;5.0;precious store;4.01;319.0;1
361;calvin klein;ck one;220;105.0;200.0;edt;unisex;citrus;sandalwood amber musk cedar oakmoss;nutmeg violet orris root jasmine lily valley rose;3.03;amlaq;3.09;135.0;0
362;paco rabanne;ultraviolet;281;148.65;80.0;edp;women;floral;madagascar vanilla absolute ambergris;chinese osmanthus indian sambac jasmine;4.08;amlaq;3.09;135.0;0
364;burberry;brit sheer;232;123.95;100.0;edt;women;fruity;white musk blond wood;pink peony peach blossom nashi floral accent;4.08;noon;4.02;98.1;0
367;dorall collection;eternally hot;29;8.0;100.0;edt;women;woody;vanilla musk;gardenia jasmine;4.05;bag;4.02;14.1;0
368;boucheron;place vendome;187;187.0;100.0;edp;women;floral;cedar white musk;iris rose jasmine;4.05;beauty;4.01;538.0;1
370;chanel;gabrielle;1126;459.0;100.0;edp;women;floral;sandalwood musk;tuberose ylangylang jasmine orange blossom;3.07;alnajm;3.07;347.0;0
371;hugo boss;vie;185;125.0;75.0;edp;women;floral;cedar woody notes;pink freesia jasmine rose;5.0;rose gallary;4.02;347.0;1
372;roberto cavalli;paradisio azzuro;499;168.0;75.0;edp;women;floral;amberwood cashmere wood cypress sandalwood vanilla;apple jasmine peach rose tuberose water notes;4.08;amlaq;3.09;135.0;0
373;dolce gabbana;one;441;130.95;100.0;edt;men;spicy;amber moss musk vanilla vetiver;genisteae jasmine lily lily valley orange tree blossom ylangylang;4.05;perfume ms;3.06;111.0;0
374;bentley;momentum intense;226;144.0;100.0;edp;men;woody;amber wood sandalwood white musk;geranium tonka bean marine ambergris;5.0;moon light;3.09;61.0;0
375;guerlain;mon bloom rose;586;272.0;100.0;edt;women;floral;neroli rose;sambac jasmine;4.0;faces;3.09;61.0;0
376;korloff;white;562;116.0;88.0;edt;men;citrus;cashmeran virginia cedar musk tonka bean;lavender african orange flower clary sage;5.0;noon;4.02;98.1;0
377;tesori doriente;orchidea della cina;60;38.95;100.0;edt;women;floral;myrrhpralinemuskvanillasandalwood;orange blossomtiare flowerjasmineorchid;4.03;noon;4.02;98.1;0
379;trussardi;uomo;230;138.85;100.0;edt;men;spicy;leather moss patchouli;clary sage violet;5.0;noon genuine product;4.02;98.1;0
380;dorall collection;dc marine noir;29;9.07;100.0;edt;men;floral;incense amber cedar vetiver patchouli musk;water sage rosemary;3.04;bag;3.07;14.1;0
381;burberry;body;283;142.0;85.0;edp;women;woody;cashmere wood musk amber vanille;iris rose sandalwood;5.0;kingperfume;4.02;450.0;1
382;gucci;bamboo;575;189.0;75.0;edp;women;floral;sandalwood;casablanca lily ylang ylang extracomoros;4.08;alnajm;3.07;347.0;1
383;revlon;charli blue;44;44.0;100.0;edt;women;woody;sandalwood oakmoss musk;jasmine muguet rose ylangylang;5.0;attractive perfume;3.05;244.0;0
385;bentley;absolute;200;154.0;100.0;edp;men;woody;moss agarwood amber atlas cedar;olibanum papyrus sandalwood;5.0;nawaemperfumes;3.09;69.0;0
388;azzaro;chrome;269;135.0;100.0;edt;men;citrus;sandalwood tonka bean musk oakmoss cedar brazilian rosewood cardamom;rosemary pineapple neroli bergamot lemon;4.0;noon;4.02;98.1;0
389;dunhill;custom;330;89.85;100.0;edt;men;floral;virginia cedar incense;pepper;4.03;noon;4.02;98.1;0
390;dorall collection;super cobra;29;8.08;100.0;edt;women;floral;amber milk mousse australian sandalwood vanilla;orange blossom peach raspberry leaf;5.0;bag;3.07;14.1;0
392;ralph lauren;polo blue;465;327.0;125.0;edp;men;woody;vetiver;blue orris accord;4.07;top langri;3.09;347.0;0
393;narciso rodriguez;narciso rodriguez;442;108.75;100.0;edt;women;woody;vetiver vanilla;egyptian musk amber;4.07;creativity star;3.05;319.0;1
394;mini collection;eaudemoiselle;16;16.0;25.0;edp;unisex;oriental;rose;cinnamon;4.09;original;3.09;235.0;1
395;chopard;happy spirit;269;148.95;75.0;edp;women;fruity;amber musk cashmere wood;honeysuckle osmanthus;5.0;amlaq;3.09;135.0;0
397;chloe;chloe;428;188.85;50.0;edp;women;floral;amber virginia cedar;rose lilyofthevalley caribbean magnolia;5.0;hadayiq baris;3.08;122.0;0
398;ted lapidus;lapidus pour homme;122;66.0;100.0;edt;men;woody;sandalwood tonka bean amber patchouli musk oakmoss cedar tobacco;pine tree honey orris root jasmine caraway petitgrain lilyofthevalley rose brazilian rosewood incense;5.0;diorworld;3.05;75.0;0
399;carolina herrera;bad boy;652;204.0;100.0;edt;men;spicy;tonka bean amberwood cacao;cedar sage;5.0;first fragrance;4.01;5.0;0
404;dorall collection;simple;15;8.05;100.0;edt;women;floral;amber patchouli vanilla musk sandalwood;magnolia gardenia lily valley freesia jasmine;4.03;bag;3.07;14.1;0
405;chopard;happy spirit;185;155.0;75.0;edp;women;fruity;amber musk cashmere wood;honeysuckle osmanthus;5.0;starperfume;3.09;537.0;1
406;coach;new york;501;183.95;90.0;edp;women;fruity;suede musk sandalwood cashmeran;turkish rose gardenia cyclamen;4.07;starperfume;3.09;537.0;1
408;cartier;declaration dun soir;365;213.0;100.0;edt;men;spicy;sandalwood;rose nutmeg;4.08;amlaq;3.09;135.0;0
409;chanel;allure homme sport edt;800;423.0;100.0;edt;men;citrus;tonka bean atlas cedar vetiver white musk pepper;cedarnerolipepper;5.0;hadayiq baris;3.08;122.0;0
410;davidoff;leather blend;420;224.85;100.0;edp;unisex;spicy;leatherpapyrus;rose amber;5.0;;3.05;75.0;0
411;al fakhr;shiyoukh al oud;08.09;8.09;100.0;edp;unisex;woody musky;sandalwood cedarwood;black pepper cardamom;4.05;bismat eatar;3.07;66.0;0
415;dorall collection;courageous;22;0.440972222;100.0;edt;women;floral;orris root musk vanilla;roses iris;4.07;bag;3.07;14.1;0
419;lacoste;l rouge;113;113.0;100.0;edt;men;spicy;acacia wood;rooibos tea extract red bush tea;4.0;hadayiq baris;3.08;122.0;0
421;franck olivier;oud vanille;167;90.0;100.0;edp;men;arabian;woody notes spices musk vanilla;rose violet jasmine patchouli incense;5.0;nawaemperfumes;3.09;69.0;0
422;burberry;beat;280;150.0;75.0;edp;women;floral;white musk vetiver cedar wood;ceylon tea iris bluebell;4.03;faces;3.07;61.0;0
423;ajmal;sacrifice;153;70.0;50.0;edp;women;floral;woody oriental musky;floral musky;4.06;rayhanti;4.02;27.0;0
424;givenchy;eau de moiselle;550;183.0;100.0;edt;women;floral;ambrette seeds tonka beans musk;rose ylang ylang;5.0;asrar aljamal;4.02;98.0;0
426;dorall collection;dc;29;9.03;100.0;edt;men;floral;vetiver patchouli oakmoss musk sandalwood;galbanum rosemary jasmine coumarin;4.0;bag;4.02;14.1;0
428;coach;new york platinum;11;7.09;2.0;edp;men;oriental;patchouli vanilla leather;aromatic accords;4.05;princess beauty;3.08;467.0;1
429;carolina herrera;vip;363;160.0;100.0;edt;men;vanilla;king wood salty amber tonka beans;chilled vodka hot ginger slice apple;5.0;alnajm;3.07;347.0;1
430;mercedesbenz;club black;295;185.0;100.0;edt;women;vanilla;ambroxan benzoin woodsy notes vanilla;jasmine incense;5.0;parvant store;3.08;76.0;0
431;tommy hilfiger;tommy girl;380;122.95;100.0;edt;women;citrus;desert jasmin cherokee rose magnolia petals dakota lilies cedar sandalwood wild heather;grapefruit citrus orchards crisp green notes honeysuckle butterfly violets;4.04;parvant store;4.02;76.0;0
432;guerlain;vetiver;426;174.0;100.0;edt;men;aromatic;vetiver oakmoss leather myrrh civet tonka bean amber;vetiver pepper carnation sage orris root sandalwood;5.0;nawaemperfumes;3.09;69.0;0
434;shirley may;darknet pour homme;11.05;11.05;100.0;edt;men;woody;musk moss;anise cardamom cinnamon;3.0;beauty gallery;3.07;59.0;0
435;paco rabanne;lady million;420;158.0;80.0;edp;women;floral;patchouli white honey amber;jasmine african orange flower gardenia;4.07;;4.02;7.0;0
436;cartier;la panthere;695;235.85;75.0;edp;women;fruity;oakmoss musk patchouli leather;gardenia rose ylangylang orange blossom pear;4.07;noon;4.02;98.1;0
437;davidoff;game;147;77.0;100.0;edt;men;woody;ebony wood;iris woody notes;5.0;cute shop;4.02;98.1;0
438;paco rabanne;ultraviolet;353;165.0;100.0;edt;men;woody;indonesian patchouli oakmoss;tanzanian black pepper ambergris;4.04;starperfume;3.09;537.0;1
439;shirley may;black car;21;0.440972222;100.0;edt;men;citrus;amber palisander rosewood;cedar spicy notes;4.05;beautify;3.06;528.0;1
440;ard al zaafaran;oud sharqia;65;18.04;80.0;edp;unisex;arabian;sweet wood;citric;4.04;kingperfume;3.06;450.0;1
441;guerlain;santal royal;768;406.0;125.0;edp;unisex;arabian;sandalwood leather note amber notes oud muscs note;peach rose cinnamon;5.0;top langri;3.07;347.0;0
444;burberry;burberry;699;226.65;90.0;edp;women;floral;oined damascus centifolia rose;freesia flowers golden quince;5.0;amlaq;3.09;135.0;0
446;lacoste;joy pink;427;113.95;90.0;edt;women;floral;musk vanilla;jasmine carrot spicy coriander;4.04;kado store;4.03;23.0;0
447;lalique;leparfum;143;143.0;100.0;edp;women;oriental;sandalwood tonka bean patchouli vanilla;jasmine heliotrope;4.04;beautiful live;412.0;7.0;2
448;gucci;memoire dune odeur edp uni;530;349.95;100.0;edp;unisex;fresh;sandalwood cedar vanilla;coral jasmine jasmine petals musks;5.0;noon;4.02;98.1;0
450;dorall collection;oud wood;19;9.09;100.0;pdt;unisex;citrus;cedar tobacco patchouli sandalwood musk;geranium marigold rose bay leaves;4.03;bag;4.02;14.1;0
451;hugo boss;scent;426;135.0;100.0;edt;men;spicy;leather woody notes;lavender maninka;3.06;perfume ms;3.07;537.0;1
453;carolina herrera;sexy;420;151.0;100.0;edp;women;floral;cotton candymusksandalwoodvanilla;gardeniageranium;4.07;alnajm;3.07;347.0;1
456;parfums gres;cabotine de gres;110;78.0;100.0;edp;women;floral;patchouli sandalwood musk;ginger lily tubereuse wild hyacinth;4.05;nawaemperfumes;3.09;69.0;0
457;lancome;magie noire leau;401;401.0;75.0;edt;women;woody;amber sandalwood patchouli;jasmine ylangylang;4.06;banorama;3.05;63.0;0
458;loewe;esencia pour homme;514;177.0;150.0;edt;men;woody;tonka bean leather sandalwood fir amber patchouli musk oakmoss vetiver cedar styrax;clary sage nutmeg basil jasmine neroli lilyofthevalley rose pine tree needles geranium black currant;5.0;pinch perfum;3.05;32.0;0
459;calvin klein;ck;125;110.0;200.0;edt;unisex;spicy;sandalwood amber cedar oakmoss;green grass magnolia orchid freesia peach jasmine;5.0;abu al tayyeb perfumes;4.02;7.0;0
460;hugo boss;boss;375;105.0;100.0;edt;men;woody;sandalwood vetiver cedarwood vanilla;geranium cinnamon cloves;4.07;acacia rose;4.08;77.0;0
463;coach;new york coach dreams;310;201.75;90.0;edp;women;floral;joshua tree ambroxan;gardenias cactus flowers;4.0;noon;4.02;98.1;0
467;lanvin paris;rumeur rose;126;106.85;100.0;edp;women;floral;patchouli amber musk;lily valley jasmine false jasmine rose magnolia honeysuckle;4.03;goldiaa;4.01;135.0;0
468;roberto cavalli;cavali;499;115.0;75.0;edp;men;arabian;roasted tonka grain laos benzoin;orange blossom extract mirabelle plum;4.03;hadayiq baris;3.08;122.0;0
470;caron;de caron;388;178.0;200.0;edt;men;fresh;musk;vanille;4.03;;3.07;59.0;0
471;paris hilton;heiress;224;151.0;100.0;edp;women;fruity;violet leaf tahiti tonka light wood;jasmine tiare lily delightfully sweet ylangylang honeysuckle grenadine;4.04;abu al tayyeb perfumes;3.06;30.0;0
472;carolina herrera;vip;445;190.0;80.0;edp;women;arabian;vanille tonka bean;musk gardenia;4.04;number one;4.02;98.0;0
475;lacoste;l blanc;108;89.95;100.0;edt;men;woody;virginia cedar leather suede vetiver;ylang;5.0;noon;4.02;98.1;0
476;burberry;burberry;494;179.0;50.0;edp;women;floral;amber patchouli;peach rose;5.0;noon;4.02;98.1;0
477;dorall collection;love like crazy;25;7.25;100.0;edt;women;woody;patchouli musk vanilla amber;peony jasmine lily;4.05;bag;3.07;14.1;0
478;trussardi;extreme;462;127.95;100.0;edt;men;woody;vetiver patchouli;fruitygourmand dark plum powdery iris;5.0;perfumesshop;3.09;537.0;1
480;ming na;beibei bear blue par;20.09;20.09;50.0;edp;kids unisex;floral;patchouli earthy dry amber;sandalwood peppery lavender;4.09;royal scent;3.05;244.0;1
481;roberto cavalli;paradiso;500;165.0;75.0;edp;women;woody;pine tree cypress laurels;jasmine;4.06;hadayiq baris;3.08;122.0;0
482;lalique;encre noire;165;140.0;100.0;edt;men;woody;sandalwood;lemongrass;4.04;kikup;3.09;23.0;0
483;azzaro;visit;156;106.0;100.0;edt;men;woody;gray amber musk;lebanese cedar guaiac tree incense;4.03;beautiful live;412.0;7.0;2
485;trussardi;name;308;228.0;50.0;edp;women;floral;dry amber vanilla;lilac musk;4.06;noon;4.02;98.1;0
489;hugo boss;bottled intense;426;157.85;100.0;edp;men;spicy;sandalwood cedar vetiver vanilla;geranium cloves cinnamon;4.05;amlaq;3.09;135.0;0
491;estee lauder;private collection;505;197.0;50.0;edp;women;floral;sandalwood heliotrope amber musk;bulgarian rose chrysanthemum reseda ylangylang coriander;5.0;royal scent;3.09;69.0;0
493;burberry;beat;280;150.0;75.0;edp;women;floral;white musk vetiver cedar wood;ceylon tea iris bluebell;4.03;faces;4.02;61.0;0
494;lattafa;rouat al oud;99;45.0;100.0;edp;women;spicy;cedarwood patchouli vetiver musk;cardamom spicy notes;5.0;rihanna world store;4.04;8.0;0
495;yves saint laurent;la nuit de lhomme;536;314.0;100.0;edt;men;woody;vetiver caraway;bergamot virginia cedar lavender;5.0;first fragrance;412.0;7.0;2
496;ajmal;blu;177;139.95;90.0;edp;men;fresh;sandalwood musk amber;lotus jasmine;4.0;noon;4.02;98.1;0
497;mont blanc;legend;220;141.95;100.0;edt;men;spicy;sandalwood tonka evernyl;dried fruit oakmoss fused geranium rose apple;5.0;noon;4.02;98.1;0
498;hermes;terre hermes;474;173.0;100.0;edt;men;citrus;woody notes patchouli cedar;geranium;3.09;noon;4.02;98.1;0
500;roberto cavalli;dupont;360;120.0;75.0;edp;women;arabian;benzoin tonka bean vanille;african orange flower;4.06;starperfume;3.09;537.0;1
501;burberry;burberry body;13;8.05;2.0;edt;women;woody;absolute vanilla orchid tahitensis praline patchouli papyrus;rose damascena essence incense;4.0;princess beauty;3.08;467.0;1
502;bentley;intense;169;128.0;100.0;edp;men;spicy;leather benzoin incense cedar patchouli;clary sage african geranium cinnamon rum wood;4.03;parisian store;3.09;425.0;1
503;burberry;burberry;700;197.95;90.0;edp;women;floral oriental;damascus centifolia rose;geranium freesia flowers golden quince;4.07;grass gulf;3.09;135.0;0
505;lalique;encre noire;485;136.95;100.0;edt;men;woody;cashmere wood musk;haitian vetiver;4.05;parvant store;3.07;76.0;0
506;yves saint laurent;rive gauche homme;560;560.0;80.0;edt;men;aromatic;gaiac wood;patchouli vetiver;4.07;abu al tayyeb perfumes;3.05;63.0;0
507;lanvin paris;modern princess;356;174.0;90.0;edp;women;floral;white musk white woods vanilla orchid;jasmine freesia;5.0;ryhana perfume;4.02;25.0;0
508;giorgio armani;eau pour homme reno;361;186.0;50.0;edt;men;citrus;patchouli oakmoss sandalwood;cloves lily nutmeg;4.07;noon;4.02;98.1;0
509;nikos;sculpture homme;220;52.95;100.0;edt;men;floral;amber benzoin cedar tonka beans;geranium jasmine lily valley rose;4.05;noon;4.02;98.1;0
510;davidoff;brilliant game;215;93.75;100.0;edt;men;arabian;sensual addiction tonka bean note;charismatic virility cedarwood;4.02;noon;4.02;98.1;0
512;narciso rodriguez;narciso rodriguez;442;108.75;100.0;edt;women;woody;vetiver vanilla;egyptian musk amber;4.07;creativity star;3.07;319.0;1
