no;brand;name;new_price;ml;concentration;department;scents;base_note;middle_note;combined_notes;note_length;unique_words;cluster
236;CHOPARD;Rose Malaki;189;80;EDP;Women;spicy;cedarwood patchouli vanilla;rose absolu rose petal accord smoky leather;spicy cedarwood patchouli vanilla rose absolu rose petal accord smoky leather;77;10;2
237;LACOSTE;Blanc Pour Homme;95;100;EDT;Men;woody;leather suede cedar;mexican tuberose ylangylang;woody leather suede cedar mexican tuberose ylangylang;53;7;0
238;JAGUAR;Classic Red;64;100;EDT;Men;fruity;patchouli cedar amber tonka vanilla;jasmine pepper ozonic notes;fruity patchouli cedar amber tonka vanilla jasmine pepper ozonic notes;70;10;2
239;Lancome;La Vie Est Belle;233;50;EDP;Women;floral;patchouli tonka bean vanilla praline;iris jasmine orange blossom;floral patchouli tonka bean vanilla praline iris jasmine orange blossom;71;10;2
240;Givenchy;Dahlia Divin Nude;300;75;EDP;Women;fresh;rose vanilla ginger;pine cardamom lavender rosemary;fresh rose vanilla ginger pine cardamom lavender rosemary;57;8;0
241;Dolce & Gabbana;The One;190;100;EDT;Men;spicy;ambery cedar wood;cardamom ginger;spicy ambery cedar wood cardamom ginger;39;6;0
242;Estee Lauder;Private Collection;199;50;EDP;Women;floral;sandalwood heliotrope amber musk;bulgarian rose chrysanthemum reseda ylangylang coriander;floral sandalwood heliotrope amber musk bulgarian rose chrysanthemum reseda ylangylang coriander;96;11;2
243;UNITED COLORS OF BENETTON;United Colors Of Benetton Hot;28;100;EDT;Men;woody;sandalwood amber musk vanilla oakmoss cedar;apricot iris water jasmine lilyofthevalley;woody sandalwood amber musk vanilla oakmoss cedar apricot iris water jasmine lilyofthevalley;92;12;2
244;UNITED COLORS OF BENETTON;Cold;27;100;EDT;Men;spicy;patchouli vetiver white musk;coriander lavender geranium;spicy patchouli vetiver white musk coriander lavender geranium;62;8;0
245;CAROLINA HERRERA;Ch Men Sports;115;50;EDT;Men;woody;sandalwood oak moss vetiver;sea notes mixed spices aromatic accords sichuan pepper juniper berries;woody sandalwood oak moss vetiver sea notes mixed spices aromatic accords sichuan pepper juniper berries;104;15;2
246;CHLOE;Nomade;290;75;EDP;Women;floral;oakmoss amberwood patchoulli sandalwood white musk;freesia jasmine rose peach;floral oakmoss amberwood patchoulli sandalwood white musk freesia jasmine rose peach;84;11;2
247;EMPORIO ARMANI;Stronger With You;154;100;EDT;Unisex;floral;chestnut vanilla musk;sage;floral chestnut vanilla musk sage;33;5;0
248;Mancera;Cedrat Boise;253;120;EDP;Unisex;aromaticcitrus;leatheroakmossvanillawoody notes;patchouli leaves;aromaticcitrus leatheroakmossvanillawoody notes patchouli leaves;64;5;0
249;Dunhill;Edition;108;100;EDT;Men;spicy;vetiver sandalwood cedar tonka bean;carnation geranium jasmine clary sage;spicy vetiver sandalwood cedar tonka bean carnation geranium jasmine clary sage;79;11;2
250;CARTIER;Pasha Edition Noir;198;100;EDT;Men;oriental;woody amber cedar accords;warm cuddly aromas;oriental woody amber cedar accords warm cuddly aromas;53;8;0
251;Givenchy;Blue Label;143;100;EDT;Men;spicy;cedar olibanum vetiver;cardamom lavender pepper;spicy cedar olibanum vetiver cardamom lavender pepper;53;7;0
252;Dior;Joy;360;90;EDP;Women;woody;sandalwood cedar wood vanilla caramel musk woody accords;jasmine rose muget freesia cinnamon;woody sandalwood cedar wood vanilla caramel musk woody accords jasmine rose muget freesia cinnamon;98;13;2
253;LALIQUE;Encre Noire;136;100;EDT;Men;woody;musk cashmere wood;haitian bourbon vetiver;woody musk cashmere wood haitian bourbon vetiver;48;7;0
254;Calvin Klein;CK One;98;100;EDT;Unisex;citrus;sandalwood amber musk cedar oakmoss green tea green accord;nutmeg violet orris root lilyofthevalley rose freesia jasmine;citrus sandalwood amber musk cedar oakmoss green tea green accord nutmeg violet orris root lilyofthevalley rose freesia jasmine;127;17;1
255;PACO RABANNE;Black XS;310;100;EDT;Men;woody;black amber patchouli;praline cinnamon;woody black amber patchouli praline cinnamon;44;6;0
256;AZZARO;Pour Homme;133;100;EDT;Men;woody;leather tonka bean amber musk oakmoss;sandalwood juniper berries patchouli vetiver cedar cardamom;woody leather tonka bean amber musk oakmoss sandalwood juniper berries patchouli vetiver cedar cardamom;103;14;2
257;CERRUTI 1881;Cerruti;117;100;EDT;Men;floral;musk sandalwood patchouli oakmoss cedar pepper pine tree;vetiver ylangylang rose lilyofthevalley cassia;floral musk sandalwood patchouli oakmoss cedar pepper pine tree vetiver ylangylang rose lilyofthevalley cassia;110;14;2
258;Rasasi;Relation;55;50;EDP;Women;fresh;musk vanilla;bulgarian rose lilac jasmine;fresh musk vanilla bulgarian rose lilac jasmine;47;7;0
259;ESCADA;Magnetism;138;75;EDP;Women;arabian;sandalwood amber patchouli musk benzoin caramel vetiver vanilla;magnolia iris green leaves freesia basil jasmine caraway heliotrope lilyofthevalley rose almond blossom;arabian sandalwood amber patchouli musk benzoin caramel vetiver vanilla magnolia iris green leaves freesia basil jasmine caraway heliotrope lilyofthevalley rose almond blossom;175;22;1
260;BOUCHERON;Pour Homme;165;100;EDP;Men;woody;patchouli sandalwood;coriander basil;woody patchouli sandalwood coriander basil;42;5;0
261;DORALL COLLECTION;Eventful;8;100;EDT;Women;woody;musk;rose ylang ylang;woody musk rose ylang ylang;27;4;0
262;Yves Saint Laurent;Body Kouros;229;100;EDT;Men;woody;benzoin;cedar sage;woody benzoin cedar sage;24;4;0
263;VERSACE;L'Homme;145;100;EDT;Men;citrus;amberlabdanumleathermusktonka beansvanilla;carnationcedarcinnamonjasminepatchoulirosesandalwood;citrus amberlabdanumleathermusktonka beansvanilla carnationcedarcinnamonjasminepatchoulirosesandalwood;102;4;2
264;ESCADA;Magnetism;139;75;EDP;Women;arabian;sandalwood amber patchouli musk benzoin caramel vetiver vanilla;magnolia iris green leaves freesia basil jasmine caraway heliotrope lilyofthevalley rose;arabian sandalwood amber patchouli musk benzoin caramel vetiver vanilla magnolia iris green leaves freesia basil jasmine caraway heliotrope lilyofthevalley rose;160;20;1
265;BURBERRY;My Burberry Bl;255;90;EDT;Women;floral;amber patchouli;candied rose peach nectar;floral amber patchouli candied rose peach nectar;48;7;0
266;DAVIDOFF;Cool Water;76;125;EDT;Men;woody;amber cedar musk oakmoss tobacco;geranium jasmine neroli sandalwood;woody amber cedar musk oakmoss tobacco geranium jasmine neroli sandalwood;73;10;2
267;joop;Go;103;100;EDT;Men;fresh;musk balsam fir;cypress violet bourbon geranium;fresh musk balsam fir cypress violet bourbon geranium;53;8;0
268;Jacques Bogart;Silver Scent;55;100;EDT;Men;arabian;vetiver litchi tonka bean teak wood;cardamom rosemary nutmeg lavender coriander geranium;arabian vetiver litchi tonka bean teak wood cardamom rosemary nutmeg lavender coriander geranium;96;13;2
269;Paris Hilton;Fairy Dust;94;100;EDP;Women;floral;vanilla musk pacsuli;peachgardenialotus;floral vanilla musk pacsuli peachgardenialotus;46;5;0
270;PRIVE;Windsor;29;100;EDP;Women;fruity;vanilla blackberry amber;jasmine magnalio orange bloosm;fruity vanilla blackberry amber jasmine magnalio orange bloosm;62;8;0
271;NARCISO RODRIGUEZ;Narciso;284;90;EDP;Women;floral;vetiver white cedar extract cedar;musk gardenia white rose;floral vetiver white cedar extract cedar musk gardenia white rose;65;8;0
272;Lattafa;Rouat Al Oud;44;100;EDP;Unisex;spicy;cedarwood patchouli vetiver musk;cardamom spicy notes;spicy cedarwood patchouli vetiver musk cardamom spicy notes;59;7;0
273;Jimmy Choo;jimmy;185;100;EDT;Men;fruity;amber patchouli suede;geranium pineapple leaf pink pepper;fruity amber patchouli suede geranium pineapple leaf pink pepper;64;9;0
274;MONTBLANC;Explorer;9;2;EDP;Men;woody;vetiver leather cedarwood;patchouli mahonial ambrofix;woody vetiver leather cedarwood patchouli mahonial ambrofix;59;7;0
275;Calvin Klein;Euphoria;127;100;EDP;Men;woody;black violet liquid amber mahogany cream accords;black orchid champaca flower;woody black violet liquid amber mahogany cream accords black orchid champaca flower;83;11;2
276;Ferrari;Man In Red;119;100;EDT;Men;fruity;cedar tonka bean labdanum;lavender yellow plum orange blossom;fruity cedar tonka bean labdanum lavender yellow plum orange blossom;68;10;2
277;Yves Saint Laurent;Cinema;192;90;EDP;Women;floral;vanilla amber benzoin white musk;jasmine peony amaryllis;floral vanilla amber benzoin white musk jasmine peony amaryllis;63;9;0
278;Ferrari;Scuderia Red;96;125;EDT;Men;fruity;cedar sandalwood moss vanilla;jasmine geranium orris nutmeg;fruity cedar sandalwood moss vanilla jasmine geranium orris nutmeg;66;9;0
279;Jacomo;Silences;143;100;EDP;Women;floral;woodymusky;danmask roseirisnarcissus;floral woodymusky danmask roseirisnarcissus;43;4;0
280;jil sander;Jil Sander;175;125;EDT;Men;spicy;oakmoss cedar nutmeg woody notes;carnation geranium cinnamon patchouli;spicy oakmoss cedar nutmeg woody notes carnation geranium cinnamon patchouli;76;10;2
281;AMOUAGE;Interlude;716;100;EDP;Men;fresh;leather agarwood smoke patchouli sandalwood;amber frankincense opoponax cistus myrrh;fresh leather agarwood smoke patchouli sandalwood amber frankincense opoponax cistus myrrh;90;11;2
282;GUESS;Marciano;108;100;EDP;Women;floral;powdery vanilla musk woody accord;floral rhythm of peony pink honeysuckle intensively clean sweet jasmine;floral powdery vanilla musk woody accord floral rhythm of peony pink honeysuckle intensively clean sweet jasmine;112;15;2
283;joop;Homme;57;125;EDT;Men;citrus;patchouli sandalwood tonka beans vanilla;cardamom cinnamon heliotrope jasmine lily of valley;citrus patchouli sandalwood tonka beans vanilla cardamom cinnamon heliotrope jasmine lily of valley;99;13;2
284;Alina Corel;Nice Girl;28;90;EDP;Women;fruity;amber vanilla musk;jasmine tuberose;fruity amber vanilla musk jasmine tuberose;42;6;0
285;HUGO BOSS;Hugo Boss;95;125;EDT;Men;fresh;patchouli fir cedar;carnation sage geranium jasmine;fresh patchouli fir cedar carnation sage geranium jasmine;57;8;0
286;MINI COLLECTION;Mini Collection No.1075;10;25;EDP;Unisex;musk;wood;vanilla;musk wood vanilla;17;3;0
287;Ajmal;Rain Drops;49;50;EDP;Women;floral;ambery woody;animalistic floral;floral ambery woody animalistic floral;38;4;0
288;HUGO BOSS;Hugo;115;125;EDT;Men;aromatic;cedar wood fir patchouli;carnation geranium jasmine sage;aromatic cedar wood fir patchouli carnation geranium jasmine sage;65;9;0
289;Calvin Klein;One Shock;102;200;EDT;Men;spicy;amber patchouli woodsy notes musk;cardamom pepper basil osmanthus;spicy amber patchouli woodsy notes musk cardamom pepper basil osmanthus;71;10;2
290;CHANEL;Allure Sensuelle;480;100;EDP;Women;arabian;amber patchouli vanilla musk;jasmine rose iris candied fruits vetiver;arabian amber patchouli vanilla musk jasmine rose iris candied fruits vetiver;77;11;2
291;GIORGIO ARMANI;Eau De Cedre;470;100;EDT;Men;woody;suede cedar essence black tea woody notes;violet leaf cardamom cumin;woody suede cedar essence black tea woody notes violet leaf cardamom cumin;74;11;2
292;Mancera;Red Tobacco;340;120;EDP;Men;woody;precious tobacco amber woody notes vetiver vanilla pods white musk;patchouli leaves jasmine;woody precious tobacco amber woody notes vetiver vanilla pods white musk patchouli leaves jasmine;97;13;2
293;Jean Paul GAULTIER;Scandal;350;80;EDP;Women;floral;sandalwood caramel beeswax patchouli;honey peach orange blossom jasmine gardenia;floral sandalwood caramel beeswax patchouli honey peach orange blossom jasmine gardenia;87;11;2
294;Jimmy Choo;Man Ice;204;100;EDT;Men;woody;musk moss ambroxan;vetiver patchouli cedar apple;woody musk moss ambroxan vetiver patchouli cedar apple;54;8;0
295;HUGO BOSS;Deep Red;179;90;EDP;Women;oriental;sandalwood california cedar vanilla musk;freesia ginger ginger flower hibiscus seed freesia tuberose;oriental sandalwood california cedar vanilla musk freesia ginger ginger flower hibiscus seed freesia tuberose;109;12;2
296;Calvin Klein;Escape;94;100;EDP;Women;oriental;vanilla musk cedar sandalwood oakmoss amber vetiver;carnation rose peach lily of valley jasmine cloves;oriental vanilla musk cedar sandalwood oakmoss amber vetiver carnation rose peach lily of valley jasmine cloves;111;16;2
297;DORALL COLLECTION;Dionysus;10;100;EDT;Men;floral;aromatic cedarwood tonka amber vetiver;ozonic tones geranium violet cool eucalyptus crisp green apple;floral aromatic cedarwood tonka amber vetiver ozonic tones geranium violet cool eucalyptus crisp green apple;108;15;2
298;Genie;1029 Collection;17;40;EDP;Women;fruity;vegetal amber musk mahogany;magnolia lotus peony;fruity vegetal amber musk mahogany magnolia lotus peony;55;8;0
299;Lancome;La Vie Est Belle;217;75;EDP;Women;vanilla;patchouli praline tonka beans vanilla;iris jasmine orange tree blossom;vanilla patchouli praline tonka beans vanilla iris jasmine orange tree blossom;78;10;2
300;ANGEL SCHLESSER;Essential;83;50;EDP;Women;clean;sandalwood musk vetiver cedar;peony violet freesia bulgarian rose;clean sandalwood musk vetiver cedar peony violet freesia bulgarian rose;71;10;2
301;VERSACE;Oud Noir;260;100;EDP;Men;woody;agarwood patchouli leatherwood;cardamom saffron olibanum;woody agarwood patchouli leatherwood cardamom saffron olibanum;62;7;0
302;Roberto Cavalli;cavalli;110;75;EDP;Women;arabian;benzoin tonka bean vanilla;african orange flower;arabian benzoin tonka bean vanilla african orange flower;56;8;0
303;CAROLINA HERRERA;212 VIP;258;200;EDT;Men;vanilla;king wood salty amber tonka beans;chilled vodka hot ginger slice of apple;vanilla king wood salty amber tonka beans chilled vodka hot ginger slice of apple;81;14;2
304;CAROLINA HERRERA;Prive;140;100;EDT;Men;aromatic;leather benzoin tonka;luxurious notes of whiskey;aromatic leather benzoin tonka luxurious notes of whiskey;57;8;0
305;ADOLFO DOMINGUEZ;Vetiver Hombre;110;120;EDT;Men;floral;amber cedar leather vetiver patchouli roots;jasmine lily clove;floral amber cedar leather vetiver patchouli roots jasmine lily clove;69;10;2
306;Fendi;Furiosa;184;100;EDP;Women;floral;incense gaac wood amber;jasmine absolute violaciocca flower gardenia;floral incense gaac wood amber jasmine absolute violaciocca flower gardenia;75;10;2
307;jennifer lopez;Live;99;100;EDP;Women;fruity;caramel sandalwood tonka beans vanilla;peony red currant blossom violet;fruity caramel sandalwood tonka beans vanilla peony red currant blossom violet;78;11;2
308;Lattafa;Velvet Oud;56;100;EDP;Unisex;floral;sandalwood tonka bean amber patchouli musk oakmoss cedar tobacco;pine tree honey orris root jasmine caraway petitgrain lilyofthevalley rose brazilian rosewood incense;floral sandalwood tonka bean amber patchouli musk oakmoss cedar tobacco pine tree honey orris root jasmine caraway petitgrain lilyofthevalley rose brazilian rosewood incense;173;23;1
309;Guerlain;Habit Rouge;218;100;EDP;Men;woody;labdanum leather amber benzoin oakmoss vanilla;carnation sandalwood patchouli cinnamon jasmine cedar rose;woody labdanum leather amber benzoin oakmoss vanilla carnation sandalwood patchouli cinnamon jasmine cedar rose;111;14;2
310;AVON;Rare Pearls;70;50;EDP;Women;floral;pearl musk sandalwood patchouli;plum honey pepper pearlescent flower accord magnolia broom flower;floral pearl musk sandalwood patchouli plum honey pepper pearlescent flower accord magnolia broom flower;104;13;2
311;ROCHAS;Secret De Rochas;67;100;EDP;Women;fruity;oakmoss sandalwood civet cedarwood musk orris tonka bean;osmanthus jasmine;fruity oakmoss sandalwood civet cedarwood musk orris tonka bean osmanthus jasmine;81;11;2
312;jennifer lopez;Live Luxe;95;100;EDP;Women;fresh;diamond musk soft musk;muguet petals exotic amethyst freesia;fresh diamond musk soft musk muguet petals exotic amethyst freesia;66;9;0
313;Guerlain;Mon Florale;319;100;EDP;Women;floral;vanilla iris sandalwood;floral notes peony jasmine sambac ylangylang neroli peach lilyofthevalley;floral vanilla iris sandalwood floral notes peony jasmine sambac ylangylang neroli peach lilyofthevalley;104;12;2
314;GUCCI;Guilty Intense;224;90;EDT;Men;floral;patchouli virginia cedar amber;african orange flower neroli;floral patchouli virginia cedar amber african orange flower neroli;66;9;0
315;PRADA;Milano Infusion D'iris;338;100;EDP;Women;woody;incense benzoin;iris cedar vetiver;woody incense benzoin iris cedar vetiver;40;6;0
316;Michael Kors;kors;273;100;EDP;Women;floral;musk cashmere wood vetiver;tuberose iris peony orris root arum lily;floral musk cashmere wood vetiver tuberose iris peony orris root arum lily;74;12;2
317;Yves Saint Laurent;L'Homme;338;100;EDP;Men;woody;cedar benzoin suede accord;violet leaf orange blossom;woody cedar benzoin suede accord violet leaf orange blossom;59;9;0
318;Ajmal;Teenz;74;50;EDP;Women;floral;floral fruity musky;fruity musky;floral floral fruity musky fruity musky;39;3;0
319;TED LAPIDUS;Creation;162;100;EDT;Women;fruity;amber musk sandalwood veti;gardenia jasmine tuberose daffodil rose ylangylang;fruity amber musk sandalwood veti gardenia jasmine tuberose daffodil rose ylangylang;84;11;2
320;BVLGARI;Goldea;200;90;EDP;Women;arabian;muskamberpatchoulipapyrus;ylangylang jasmine musk;arabian muskamberpatchoulipapyrus ylangylang jasmine musk;57;5;0
321;Revlon;Charlie Blue;34;100;EDT;Women;woody;a mix of sandalwood oakmoss;jasmine muguet rose ylangylang;woody a mix of sandalwood oakmoss jasmine muguet rose ylangylang;64;10;0
322;AZZARO;Chrome;143;100;EDT;Men;citrus;sandalwood tonka bean musk oakmoss cedar brazilian rosewood cardamom;cyclamen coriander jasmine oakmoss;citrus sandalwood tonka bean musk oakmoss cedar brazilian rosewood cardamom cyclamen coriander jasmine oakmoss;110;13;2
323;Calvin Klein;CK IN2U;82;100;EDT;Men;citrus;amber red cader vanilla;cacao pod;citrus amber red cader vanilla cacao pod;40;7;0
324;GUCCI;Premiere;292;75;EDP;Women;floral;patchouli sandalwood;orange blossom musk;floral patchouli sandalwood orange blossom musk;47;6;0
325;CHANEL;Allure Homme Sport EDT For;423;100;EDP;Men;citrus;tonka bean atlas cedar vetiver white musk pepper;cedarnerolipepper;citrus tonka bean atlas cedar vetiver white musk pepper cedarnerolipepper;73;10;2
326;BVLGARI;Aqva Marine Pour Homme;163;100;EDT;Men;citrus;virginia cedar amber;seaweed rosemary water notes;citrus virginia cedar amber seaweed rosemary water notes;56;8;0
327;VERSACE;Dylan Blue;38;5;EDT;Men;arabian;musk tonka bean incense saffron;violet leaves papyrus wood patchouli black pepper ambergris;arabian musk tonka bean incense saffron violet leaves papyrus wood patchouli black pepper ambergris;99;14;2
328;Jacques Bogart;Silver Scent;55;100;EDT;Men;arabian;vetiver litchi tonka bean teak wood;cardamom rosemary nutmeg lavender coriander geranium;arabian vetiver litchi tonka bean teak wood cardamom rosemary nutmeg lavender coriander geranium;96;13;2
329;GIORGIO ARMANI;Si;232;100;EDP;Women;floral;patchouli woods amber orcanox vanilla;rose de mai neroli egyptian jasmine freesia;floral patchouli woods amber orcanox vanilla rose de mai neroli egyptian jasmine freesia;88;13;2
330;AIGNER;Debut Night;172;100;EDP;Women;floral;cedar vanilla raspberry;orange blossom rose water lily;floral cedar vanilla raspberry orange blossom rose water lily;61;9;0
331;BVLGARI;Omnia Crystalline;279;65;EDT;Women;woody;white sandalwood benzoin siam musks;lotus flower orris concrete heliotrope;woody white sandalwood benzoin siam musks lotus flower orris concrete heliotrope;80;11;2
332;Lancome;Idôle ED;0;2;EDT;Women;floral;vanilla amber musk patchouli;jasmine geranium neroli ylangylang;floral vanilla amber musk patchouli jasmine geranium neroli ylangylang;70;9;2
333;Ard Al Zaafaran;Oud Sharqia;18;80;EDP;Unisex;arabian;sweet wood;citric;arabian sweet wood citric;25;4;0
334;PACO RABANNE;1 Million Lucky;267;100;EDT;Men;woody;oakmoss patchouli vetiver;cashmere wood cedar wood hazelnut honey jasmine;woody oakmoss patchouli vetiver cashmere wood cedar wood hazelnut honey jasmine;79;10;2
335;VERSACE;Eros;369;200;EDT;Men;arabian;cedar oakmoss vanilla vetiver;ambroxan geranium tonka beans;arabian cedar oakmoss vanilla vetiver ambroxan geranium tonka beans;67;9;2
336;Calvin Klein;Reveal;169;100;EDP;Women;floral;vetiver sandalwood cashmere musk;powdery iris ambergris;floral vetiver sandalwood cashmere musk powdery iris ambergris;62;8;0
337;GUCCI;Bloom Nettare Di Fiori;318;100;EDP;Women;floral;patchouli musks osmanthus;tuberosehoneysucklejasmine;floral patchouli musks osmanthus tuberosehoneysucklejasmine;59;5;0
338;LANVIN;Lanvin;113;100;EDT;Men;woody;sandalwood amber musk vanilla;pepper mint sage cardamom;woody sandalwood amber musk vanilla pepper mint sage cardamom;61;9;0
339;HUGO BOSS;Femme;139;75;EDP;Women;floral;apricot amber lemon tree;lily jasmine bulgarian rose;floral apricot amber lemon tree lily jasmine bulgarian rose;59;9;0
340;Britney Spears;Fantasy;99;100;EDP;Women;floral;creamy musk orris root sensual woods;cupcake jasmine white chocolate orchid;floral creamy musk orris root sensual woods cupcake jasmine white chocolate orchid;82;12;2
341;ELIE SAAB;Royal;239;90;EDP;Women;floral;indonesian patchouli essence indian sandalwood amber vanilla;turkish rose absolute bulgarian rose absolute lebanese neroli;floral indonesian patchouli essence indian sandalwood amber vanilla turkish rose absolute bulgarian rose absolute lebanese neroli;129;14;1
342;GIORGIO ARMANI;Si Fiori;323;100;EDP;Women;floral;vanilla white musk;neroli rose;floral vanilla white musk neroli rose;37;6;0
343;CAROLINA HERRERA;212 Men Nyc;163;100;EDT;Men;woody;labdanum sandalwood musk guaiac wood vetiver incense;ginger gardenia violet sage;woody labdanum sandalwood musk guaiac wood vetiver incense ginger gardenia violet sage;86;12;2
344;Kenzo;Jeu D'Amour L'elixir;195;75;EDP;Women;fruity;caramel patchouli rum sandalwood vanilla;jasmine tuberose;fruity caramel patchouli rum sandalwood vanilla jasmine tuberose;64;8;0
345;HUGO BOSS;Hugo;115;125;EDT;Men;aromatic;cedar wood fir patchouli;carnation geranium jasmine sage;aromatic cedar wood fir patchouli carnation geranium jasmine sage;65;9;0
346;Calvin Klein;Euphoria Intense;99;100;EDT;Men;spicy;amber patchouli agarwood myrrh labdanun;black basil sage cedar vetiver;spicy amber patchouli agarwood myrrh labdanun black basil sage cedar vetiver;76;11;2
347;MONTBLANC;Legend Spirit;140;100;EDT;Men;citrus;white musk white woods cashmere wood oakmoss;water notes lavender cardamom;citrus white musk white woods cashmere wood oakmoss water notes lavender cardamom;81;11;2
348;Parfums De Marly;Pegasus;245;125;EDT;Men;citrus;ambergris musk;iris orange blossom;citrus ambergris musk iris orange blossom;41;6;0
349;PACO RABANNE;Invictus;279;150;EDT;Men;citrus;guaiac wood patchouli heart;ambregris accord grapefruit zests;citrus guaiac wood patchouli heart ambregris accord grapefruit zests;68;9;2
350;TRUSSARDI;Uomo;143;100;EDT;Men;floral;patchoulioak mossleather;geraniumvioletclary sage;floral patchoulioak mossleather geraniumvioletclary sage;56;5;0
351;LOEWE;Esencia Pour Homme;177;150;EDT;Men;woody;tonka bean leather sandalwood fir amber patchouli musk oakmoss vetiver cedar styrax;clary sage nutmeg basil jasmine neroli lilyofthevalley rose pine tree needles geranium black currant;woody tonka bean leather sandalwood fir amber patchouli musk oakmoss vetiver cedar styrax clary sage nutmeg basil jasmine neroli lilyofthevalley rose pine tree needles geranium black currant;190;27;1
352;Calvin Klein;Escape;94;100;EDP;Women;oriental;vanilla musk cedar sandalwood oakmoss amber vetiver;carnation rose peach lily of valley jasmine cloves;oriental vanilla musk cedar sandalwood oakmoss amber vetiver carnation rose peach lily of valley jasmine cloves;111;16;2
353;MONTBLANC;Explorer;187;100;EDP;Men;woody;ambroxan akigalawood indonesian patchouli leaf cacao pod;haitian vetiver leather;woody ambroxan akigalawood indonesian patchouli leaf cacao pod haitian vetiver leather;86;11;2
354;Fendi;Furiosa;101;50;EDP;Women;floral;amber incense guaiac wood;jasmine violaciocca flower gardenia;floral amber incense guaiac wood jasmine violaciocca flower gardenia;68;9;2
355;GUCCI;Guilty Pour Homme;200;90;EDT;Men;floral;patchouli virginia cedar;african orange flower;floral patchouli virginia cedar african orange flower;53;7;0
356;MONTBLANC;Legend;108;100;EDT;Men;spicy;sandalwood tonka bean;coumarin oak moss geranium rose apple dried fruit;spicy sandalwood tonka bean coumarin oak moss geranium rose apple dried fruit;77;12;2
357;Miu Miu;miu miu;249;100;EDP;Women;floral;akigalawood;green notes jasmine rose;floral akigalawood green notes jasmine rose;43;6;0
358;Givenchy;L'Interdit;228;50;EDP;Women;floral;vetiver patchouli ambroxan vanilla;orange blossom jasmine tuberose;floral vetiver patchouli ambroxan vanilla orange blossom jasmine tuberose;73;9;2
359;Estee Lauder;White Linen;197;60;EDP;Women;oriental;vetiver sandalwood cedar amber benzoin tonka bean honey oakmoss;carnation iris jasmine hyacinth ylangylang rose lilyofthevalley violet lilac orchid orris;oriental vetiver sandalwood cedar amber benzoin tonka bean honey oakmoss carnation iris jasmine hyacinth ylangylang rose lilyofthevalley violet lilac orchid orris;162;21;1
360;Estee Lauder;White Linen;214;60;EDP;Women;arabian;vetiver sandalwood amber benzoin tonka bean honey oakmoss;carnation iris jasmine hyacinth ylangylang rose lilyofthevalley violet lilac orchid orris;arabian vetiver sandalwood amber benzoin tonka bean honey oakmoss carnation iris jasmine hyacinth ylangylang rose lilyofthevalley violet lilac orchid orris;155;20;1
361;Calvin Klein;CK One;105;200;EDT;Unisex;citrus;sandalwood amber musk cedar oakmoss;nutmeg violet orris root jasmine lily of valley rose;citrus sandalwood amber musk cedar oakmoss nutmeg violet orris root jasmine lily of valley rose;95;15;2
362;PACO RABANNE;Ultraviolet;148;80;EDP;Women;floral;madagascar vanilla absolute ambergris;chinese osmanthus indian sambac jasmine;floral madagascar vanilla absolute ambergris chinese osmanthus indian sambac jasmine;84;10;2
363;Givenchy;Play Intense;259;50;EDT;Men;spicy;vetyverfrench labdanumpatchoulitonka bean;amyrispink peppercoffee;spicy vetyverfrench labdanumpatchoulitonka bean amyrispink peppercoffee;71;6;2
364;BURBERRY;Brit Sheer;123;100;EDT;Women;fruity;white musk blond wood;pink peony peach blossom nashi floral accent;fruity white musk blond wood pink peony peach blossom nashi floral accent;73;12;2
365;ELIE SAAB;Girl Of Now;264;90;EDP;Women;floral;patchouli cashmeran tonka bean almond milk;range blossom magnolia almond;floral patchouli cashmeran tonka bean almond milk range blossom magnolia almond;79;10;2
366;JAGUAR;Jaguar;59;100;EDT;Men;aromatic;leather sandalwood tonka bean amber patchouli musk oakmoss vanilla cedar tobacco fern;cyclamen nutmeg carnation gardenia cinnamon jasmine caraway sage rose geranium fir;aromatic leather sandalwood tonka bean amber patchouli musk oakmoss vanilla cedar tobacco fern cyclamen nutmeg carnation gardenia cinnamon jasmine caraway sage rose geranium fir;177;24;1
367;DORALL COLLECTION;Eternally Hot;8;100;EDT;Women;woody;vanilla musk;gardenia jasmine;woody vanilla musk gardenia jasmine;35;5;0
368;BOUCHERON;Place Vendome;187;100;EDP;Women;floral;cedar white musk;iris rose jasmine;floral cedar white musk iris rose jasmine;41;7;0
369;Guerlain;Habit Rouge;218;100;EDP;Men;woody;labdanum leather amber benzoin oakmoss vanilla;carnation sandalwood patchouli cinnamon jasmine cedar rose;woody labdanum leather amber benzoin oakmoss vanilla carnation sandalwood patchouli cinnamon jasmine cedar rose;111;14;2
370;CHANEL;Gabrielle;459;100;EDP;Women;floral;sandalwood musk;tuberose ylangylang jasmine orange blossom;floral sandalwood musk tuberose ylangylang jasmine orange blossom;65;8;0
371;HUGO BOSS;Ma Vie;125;75;EDP;Women;floral;cedar woody notes;pink freesia jasmine rose;floral cedar woody notes pink freesia jasmine rose;50;8;0
372;Roberto Cavalli;Paradisio Azzuro;168;75;EDP;Women;floral;amberwood cashmere wood cypress sandalwood vanilla;apple jasmine peach rose tuberose water notes;floral amberwood cashmere wood cypress sandalwood vanilla apple jasmine peach rose tuberose water notes;103;14;2
