no,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,combined_notes,cluster
472,CAROLINA HERRERA,212 VIP,445,190.0,80,edp,Women,arabian,vanille tonka bean,musk gardenia,4.04,Number One,4.02,98,arabian vanille tonka bean musk gardenia,3
500,Roberto Cavalli,Dupont,360,120.0,75,edp,Women,arabian,benzoin tonka bean vanille,african orange flower,4.06,Star.perfume,3.09,537,arabian benzoin tonka bean vanille african orange flower,3
509,Nikos,Sculpture Homme,220,52.95,100,edt,Men,floral,amber benzoin cedar tonka beans,geranium jasmine lily of the valley rose,4.05,noon,4.02,98.1K,floral amber benzoin cedar tonka beans geranium jasmine lily of the valley rose,3
510,DAVIDOFF,The Brilliant Game,215,93.75,100,edt,Men,arabian,sensual addiction of the tonka bean note,charismatic virility of a cedarwood,4.02,noon,4.02,98.1K,arabian sensual addiction of the tonka bean note charismatic virility of a cedarwood,3
513,Parfums Gres,Cabotine,135,75.0,100,edt,Women,floral,cedarwood vanilla tonka bean cybet musk and amber,rose tuberose ylangylang ginger lily hyacinth heliotrope freesia violet and iris,4.08,AMLAQ,3.09,135,floral cedarwood vanilla tonka bean cybet musk and amber rose tuberose ylangylang ginger lily hyacinth heliotrope freesia violet and iris,3
515,Van Cleef & Arpels,Ambre Imperial,730,479.0,75,edp,Unisex,woody,woodsy notes,tonka bean vanilla amber benzoin,5.0,PARFUM.1990,3.08,76,woody woodsy notes tonka bean vanilla amber benzoin,3
525,PENHALIGON'S,Portraits George,2350,886.0,75,edp,Men,woody,tonka beans,shaving soap,5.0,Beuatyone1,4.02,1.3K,woody tonka beans shaving soap,3
531,joop,Homme,170,60.0,125,edt,Men,citrus,vanilla tonka bean patchouli sandalwood,jasmine lili of the valley heliotrope,3.05,hadayiq baris,3.08,122,citrus vanilla tonka bean patchouli sandalwood jasmine lili of the valley heliotrope,3
552,HOUBIGANT,Quelques Fleurs L'Original,599,285.0,100,edp,Women,floral,amber civet honey lichen musk sandalwood tonka beans vanilla,carnation heliotrope iris root jasmine lilac lily of the valley orchid tuberose violet ylangylang,5.0,AMLAQ,3.09,135,floral amber civet honey lichen musk sandalwood tonka beans vanilla carnation heliotrope iris root jasmine lilac lily of the valley orchid tuberose violet ylangylang,3
561,GIORGIO ARMANI,Code,513,265.0,75,edt,Men,citrus,tobacco leather and tonka bean,olive flower spiced with star anise,5.0,goldiaa,4.01,135,citrus tobacco leather and tonka bean olive flower spiced with star anise,3
592,Roberto Cavalli,Uomo,452,126.0,100,edt,Men,floral,cedar tonka bean patchouli,honey lavender,4.06,noon,4.02,98.1K,floral cedar tonka bean patchouli honey lavender,3
602,Roberto Cavalli,Uomo,452,134.95,100,edt,Men,floral,cedar patchouli tonka bean,honey lavender,4.06,noon100 %  genuine product,3.06,98.1K,floral cedar patchouli tonka bean honey lavender,3
604,DORALL COLLECTION,Classic Black,9,8.08,100,edt,Men,fresh,chocolatecashmere wood patchouli tonka bean,basil verbena  lavender,4.0,the beauty,3.06,538,fresh chocolatecashmere wood patchouli tonka bean basil verbena  lavender,3
606,MONTBLANC,Emblem ED,22.04,22.04,5,edt,Men,spicy,woodsy tonka bean,violet leaf cinnamon,4.08,Star.perfume,3.09,537,spicy woodsy tonka bean violet leaf cinnamon,3
608,BURBERRY,Brit Rhythm,360,119.95,90,edt,Men,woody,cedarwood and tonka bean,black leather patchouli and styrax,4.0,hadayiq baris,3.08,122,woody cedarwood and tonka bean black leather patchouli and styrax,3
614,CAROLINA HERRERA,212 Vip,363,160.0,100,edt,Men,vanilla,king wood salty amber and tonka beans,chilled vodka hot ginger and slice of apple,5.0,Al-Najm,3.07,347,vanilla king wood salty amber and tonka beans chilled vodka hot ginger and slice of apple,3
647,joop,Homme,223,55.0,125,edt,Men,citrus,vanilla tonka bean patchouli sandalwood,jasmine lily of the valley heliotrope cinnamon,4.04,hadayiq baris,3.08,122,citrus vanilla tonka bean patchouli sandalwood jasmine lily of the valley heliotrope cinnamon,3
654,Rasasi,Oud Al-Mubakhar,40,30.85,100,edp,Men,arabian,sandalwood tonka bean musk patchouli,turkish rose violet geranium,4.0,noon,4.02,98.1K,arabian sandalwood tonka bean musk patchouli turkish rose violet geranium,3
737,Roberto Cavalli,Uomo,452,126.0,100,edt,Men,floral,cedar tonka bean patchouli,honey lavender,4.06,noon,4.02,98.1K,floral cedar tonka bean patchouli honey lavender,3
738,BOUCHERON,Quatre Absolue De Nuit,125.95,125.95,100,edp,Women,arabian,sandalwood vanilla and amberwood,jasmine tonka bean and pear,4.08,King-Perfume,3.09,450,arabian sandalwood vanilla and amberwood jasmine tonka bean and pear,3
741,Roberto Cavalli,Uomo,452,134.95,100,edt,Men,floral,cedar patchouli tonka bean,honey lavender,4.06,noon,4.02,98.1K,floral cedar patchouli tonka bean honey lavender,3
756,BVLGARI,Man In Black,485,187.0,100,edp,Men,spicy,tonka bean guaiac wood benzoin,leather iris tuberose,4.06,Kado Store,4.02,20,spicy tonka bean guaiac wood benzoin leather iris tuberose,3
764,Lancome,La Vie Est Belle,560,217.0,75,edp,Women,vanilla,patchouli praline tonka beans vanilla,iris jasmine orange tree blossom,4.04,Al-Najm,3.07,347,vanilla patchouli praline tonka beans vanilla iris jasmine orange tree blossom,3
790,JAGUAR,Vision III,347,120.0,100,edt,Men,woody,sandalwood patchouli tonka bean cedar vanilla and musk,jasmine and marine notes,3.08,magic flower,3.06,5,woody sandalwood patchouli tonka bean cedar vanilla and musk jasmine and marine notes,3
802,J.CASANOVA,Vivaldi,87,87.0,100,edp,Women,fresh,tonka bean patchouli opoponax vanilla vetiver and white musk,mimosa jasmine turkish rose and ylangylang,5.0,Ryhana Perfume,4.02,25,fresh tonka bean patchouli opoponax vanilla vetiver and white musk mimosa jasmine turkish rose and ylangylang,3
804,Dunhill,Desire Blue,280,68.0,100,edt,Men,fresh,tonka bean musk amber and benzoin,orange brazilian rosewood and sea notes,4.03,Modon,3.09,71,fresh tonka bean musk amber and benzoin orange brazilian rosewood and sea notes,3
805,AZZARO,Chrome,121,121.0,100,edt,Men,citrus,sandalwood tonka bean musk oakmoss cedar brazilian rosewood and cardamom,cyclamen coriander jasmine and oakmoss,5.0,Instant,3.07,44,citrus sandalwood tonka bean musk oakmoss cedar brazilian rosewood and cardamom cyclamen coriander jasmine and oakmoss,3
821,DAVIDOFF,Hot Water,215,76.95,110,edt,Men,arabian,styrax benzoin,pimento and patchouli,4.06,AMLAQ,3.09,135,arabian styrax benzoin pimento and patchouli,3
825,joop,Homme,223,55.0,125,edt,Men,citrus,vanilla tonka bean patchouli sandalwood,jasmine lily of the valley heliotrope cinnamon,4.04,hadayiq baris,3.08,122,citrus vanilla tonka bean patchouli sandalwood jasmine lily of the valley heliotrope cinnamon,3
840,Dunhill,London,290,109.65,75,edt,Men,arabian,patchouli sandalwood tonka bean vanilla and musk,rose geranium and jasmine,3.04,AMLAQ,3.09,135,arabian patchouli sandalwood tonka bean vanilla and musk rose geranium and jasmine,3
853,BVLGARI,Man In Black,485,187.0,100,edp,Men,spicy,tonka bean guaiac wood benzoin,leather iris tuberose,4.06,Kado Store,3.06,20,spicy tonka bean guaiac wood benzoin leather iris tuberose,3
870,VERSACE,Eros,430,202.0,100,edt,Men,arabian,madagascar vanilla virginian cedar atlas cedar vetiver oakmoss,tonka bean geranium ambroxan,4.05,noon,4.02,98.1K,arabian madagascar vanilla virginian cedar atlas cedar vetiver oakmoss tonka bean geranium ambroxan,3
871,Yves Saint Laurent,Manifesto,725,207.85,90,edp,Women,floral,cedar sandalwood vanilla tonka bean,lilyofthevalley jasmine sambac,3.0,Number One,4.01,63,floral cedar sandalwood vanilla tonka bean lilyofthevalley jasmine sambac,3
913,Dunhill,Desire Blue,280,68.0,100,edt,Men,fresh,tonka bean musk amber and benzoin,orange brazilian rosewood and sea notes,4.03,Modon,3.06,71,fresh tonka bean musk amber and benzoin orange brazilian rosewood and sea notes,3
932,DAVIDOFF,Hot Water,215,76.95,110,edt,Men,arabian,styrax benzoin,pimento and patchouli,4.06,AMLAQ,3.09,135,arabian styrax benzoin pimento and patchouli,3
950,Dunhill,London,290,109.65,75,edt,Men,arabian,patchouli sandalwood tonka bean vanilla and musk,rose geranium and jasmine,3.04,AMLAQ,3.09,135,arabian patchouli sandalwood tonka bean vanilla and musk rose geranium and jasmine,3
959,Parfums Gres,Cabotine,135,75.0,100,edt,Women,floral,cedarwood vanilla tonka bean cybet musk and amber,rose tuberose ylangylang ginger lily hyacinth heliotrope freesia violet and iris,4.08,AMLAQ,3.09,135,floral cedarwood vanilla tonka bean cybet musk and amber rose tuberose ylangylang ginger lily hyacinth heliotrope freesia violet and iris,3
979,CAROLINA HERRERA,Good Girl,565,168.0,80,edp,Women,arabian,tonka bean cocoa,tuberose jasmine sambac,4.01,hadayiq baris,3.08,122,arabian tonka bean cocoa tuberose jasmine sambac,3
981,Rasasi,Oud Al-Mubakhar,40,30.85,100,edp,Men,arabian,sandalwood tonka bean musk patchouli,turkish rose violet geranium,4.0,noon,4.02,98.1K,arabian sandalwood tonka bean musk patchouli turkish rose violet geranium,3
