no,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,combined_notes,cluster
4,Roberto Cavalli,Uomo,260,94.95,50,edp,Women,arabian,vanille benzoin tonka bean,african orange flower,4.08,noon,4.02,98.1K,arabian vanille benzoin tonka bean african orange flower,3
5,Roberto Cavalli,cavalli,260,94.95,50,edp,Women,arabian,vanille benzoin tonka bean,african orange flower,4.08,noon,4.02,98.1K,arabian vanille benzoin tonka bean african orange flower,3
31,Geoffrey Beene,Grey Flannel For Men,361,79.0,120,edt,Men,woody,tonka bean almond oakmoss vetiver and cedar,mimose iris violet sage rose geranium and narcissus,5.0,top langri,3.07,347,woody tonka bean almond oakmoss vetiver and cedar mimose iris violet sage rose geranium and narcissus,3
41,BENTLEY,Azure,387,107.0,100,edt,Men,citrus,cashmere wood tonka bean and orcanox,pimento tea accord lavender and clary sage,4.06,Cute Shop,4.01,538,citrus cashmere wood tonka bean and orcanox pimento tea accord lavender and clary sage,3
42,VERSACE,Dylan Blue,85,20.05,5,edt,Men,citrus,frankincense musk saffron tonka beans,ambroxan black pepper papyrus patchouli violet leaves,4.04,Princess of beauty,4.02,467,citrus frankincense musk saffron tonka beans ambroxan black pepper papyrus patchouli violet leaves,3
44,Yves Saint Laurent,La Nuit De L'Homme L'Intense,583,204.0,100,edp,Men,vanilla,tonka bean patchouli,vanilla sage,5.0,Parfume-Stor,4.01,319,vanilla tonka bean patchouli vanilla sage,3
51,VERSACE,Dylan Blue,425,217.85,100,edt,Men,fresh,incense musk tonka bean saffron,ambroxan patchouli black pepper violet leaf papyrus,4.06,noon,4.02,98.1K,fresh incense musk tonka bean saffron ambroxan patchouli black pepper violet leaf papyrus,3
67,VERSACE,Dylan Blue,85,20.05,5,edt,Men,citrus,frankincense musk saffron tonka beans,ambroxan black pepper papyrus patchouli violet leaves,4.04,Princess of beauty,3.05,467,citrus frankincense musk saffron tonka beans ambroxan black pepper papyrus patchouli violet leaves,3
76,VERSACE,Dylan Blue,425,217.85,100,edt,Men,fresh,incense musk tonka bean saffron,ambroxan patchouli black pepper violet leaf papyrus,4.06,noon,4.02,98.1K,fresh incense musk tonka bean saffron ambroxan patchouli black pepper violet leaf papyrus,3
87,Guerlain,Ideal,560,223.0,100,edp,Men,fruity,leather sandalwood tonka beans,bulgarian rose cherry incense vanilla,4.08,Majestueuse,4.08,21,fruity leather sandalwood tonka beans bulgarian rose cherry incense vanilla,3
110,TRUSSARDI,My Land,300,164.0,100,edt,Men,woody,leather vetiver and tonka bean,lavender violet and calone,4.05,Beautiful Live,412.0,7,woody leather vetiver and tonka bean lavender violet and calone,3
116,DORALL COLLECTION,Classic Black,9,8.08,100,edt,Men,fresh,chocolatecashmere wood patchouli tonka bean,basil verbena  lavender,4.0,the beauty,3.09,538,fresh chocolatecashmere wood patchouli tonka bean basil verbena  lavender,3
192,Givenchy,Gentlemen Only,627,260.0,100,edt,Men,woody,skin accord and tonka bean,cedar wood patchouli heart and leather,4.0,Faces,3.09,61,woody skin accord and tonka bean cedar wood patchouli heart and leather,3
197,BVLGARI,Man in Black,483,200.95,100,edp,Men,woody,benzoin guaiac wood and tonka beans,iris leather and tuberose,4.07,Star.perfume,3.09,537,woody benzoin guaiac wood and tonka beans iris leather and tuberose,3
216,TED LAPIDUS,Rumba,111,58.0,100,edt,Women,floral,ambergris vanilla leather tonka bean patchouli musk sandalwood cedar plum styrax oakmoss,honey jasmine tuberose carnation heliotrope magnolia gardenia lily of the valley orchid marigold rose,3.03,hadayiq baris,3.08,122,floral ambergris vanilla leather tonka bean patchouli musk sandalwood cedar plum styrax oakmoss honey jasmine tuberose carnation heliotrope magnolia gardenia lily of the valley orchid marigold rose,3
217,AMOUAGE,Honour,1607,710.95,100,edp,Women,spicy,patchouli cedar vetiver frankincense musk tonka bean,geranium elemi nutmeg,5.0,rich&light,3.08,66,spicy patchouli cedar vetiver frankincense musk tonka bean geranium elemi nutmeg,3
224,joop,Homme,170,57.0,125,edt,Men,citrus,patchouli sandalwood tonka beans vanilla,cardamom cinnamon heliotrope jasmine lily of the valley,4.02,Cute Shop,4.02,98,citrus patchouli sandalwood tonka beans vanilla cardamom cinnamon heliotrope jasmine lily of the valley,3
238,JAGUAR,Classic Red,64.95,64.95,100,edt,Men,fruity,patchouli cedar amber tonka vanilla,jasmine pepper ozonic notes,4.04,Star.perfume,3.09,537,fruity patchouli cedar amber tonka vanilla jasmine pepper ozonic notes,3
239,Lancome,La Vie Est Belle,465,233.95,50,edp,Women,floral,patchouli tonka bean vanilla praline,iris jasmine orange blossom,5.0,Grass gulf,3.09,537,floral patchouli tonka bean vanilla praline iris jasmine orange blossom,3
283,joop,Homme,170,57.0,125,edt,Men,citrus,patchouli sandalwood tonka beans vanilla,cardamom cinnamon heliotrope jasmine lily of the valley,4.02,Cute Shop,3.07,98,citrus patchouli sandalwood tonka beans vanilla cardamom cinnamon heliotrope jasmine lily of the valley,3
299,Lancome,La Vie Est Belle,560,217.0,75,edp,Women,vanilla,patchouli praline tonka beans vanilla,iris jasmine orange tree blossom,4.04,Al-Najm,3.07,347,vanilla patchouli praline tonka beans vanilla iris jasmine orange tree blossom,3
302,Roberto Cavalli,cavalli,110,110.0,75,edp,Women,arabian,benzoin tonka bean vanilla,african orange flower,5.0,hadayiq baris,3.08,122,arabian benzoin tonka bean vanilla african orange flower,3
304,CAROLINA HERRERA,Prive,425,140.0,100,edt,Men,aromatic,leather benzoin and tonka,luxurious notes of whiskey,4.03,Perfume Ms,3.08,66,aromatic leather benzoin and tonka luxurious notes of whiskey,3
311,ROCHAS,Secret De Rochas,145,67.0,100,edp,Women,fruity,oakmoss sandalwood civet cedarwood musk orris tonka bean,osmanthus jasmine,3.0,KOZMA,4.04,337,fruity oakmoss sandalwood civet cedarwood musk orris tonka bean osmanthus jasmine,3
325,CHANEL,Allure Homme Sport EDT For,800,423.0,100,edp,Men,citrus,tonka bean atlas cedar vetiver white musk and pepper,cedarnerolipepper,5.0,hadayiq baris,3.08,122,citrus tonka bean atlas cedar vetiver white musk and pepper cedarnerolipepper,3
327,VERSACE,Dylan Blue,77,38.0,5,edt,Men,arabian,musk tonka bean incense saffron,violet leaves papyrus wood  patchouli black pepper and ambergris,4.02,neo lek,3.05,88,arabian musk tonka bean incense saffron violet leaves papyrus wood  patchouli black pepper and ambergris,3
360,Estee Lauder,White Linen,214,214.0,60,edp,Women,arabian,vetiver sandalwood amber benzoin tonka bean honey and oakmoss,carnation iris jasmine hyacinth ylangylang rose lilyofthevalley violet lilac orchid and orris,5.0,Precious Store,4.01,319,arabian vetiver sandalwood amber benzoin tonka bean honey and oakmoss carnation iris jasmine hyacinth ylangylang rose lilyofthevalley violet lilac orchid and orris,3
374,BENTLEY,Momentum Intense,226,144.0,100,edp,Men,woody,amber wood sandalwood and white musk,geranium tonka bean and marine ambergris,5.0,MOON LIGHT,3.09,61,woody amber wood sandalwood and white musk geranium tonka bean and marine ambergris,3
376,KORLOFF,In White,562,116.0,88,edt,Men,citrus,cashmeran virginia cedar musk and tonka bean,lavender african orange flower and clary sage,5.0,noon,4.02,98.1K,citrus cashmeran virginia cedar musk and tonka bean lavender african orange flower and clary sage,3
388,AZZARO,Chrome,269,135.0,100,edt,Men,citrus,sandalwood tonka bean musk oakmoss cedar brazilian rosewood and cardamom,rosemary pineapple neroli bergamot and lemon,4.0,noon,4.02,98.1K,citrus sandalwood tonka bean musk oakmoss cedar brazilian rosewood and cardamom rosemary pineapple neroli bergamot and lemon,3
399,CAROLINA HERRERA,Bad Boy,652,204.0,100,edt,Men,spicy,tonka bean amberwood cacao,cedar sage,5.0,The first fragrance,4.01,5,spicy tonka bean amberwood cacao cedar sage,3
409,CHANEL,Allure Homme Sport EDT For,800,423.0,100,edt,Men,citrus,tonka bean atlas cedar vetiver white musk and pepper,cedarnerolipepper,5.0,hadayiq baris,3.08,122,citrus tonka bean atlas cedar vetiver white musk and pepper cedarnerolipepper,3
429,CAROLINA HERRERA,212 Vip,363,160.0,100,edt,Men,vanilla,king wood salty amber and tonka beans,chilled vodka hot ginger and slice of apple,5.0,Al-Najm,3.07,347,vanilla king wood salty amber and tonka beans chilled vodka hot ginger and slice of apple,3
447,LALIQUE,Le'Parfum,143,143.0,100,edp,Women,oriental,sandalwood tonka bean patchouli and vanilla,jasmine and heliotrope,4.04,Beautiful Live,412.0,7,oriental sandalwood tonka bean patchouli and vanilla jasmine and heliotrope,3
