no,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,combined_notes,cluster
665,LA PERLA,Divina,107,62.0,50,edt,Women,fruity,musk amber vanilla and woody notes,jasmine african orange and pink,4.05,GOLDEN,3.05,63,fruity musk amber vanilla and woody notes jasmine african orange and pink,1
670,armani,Code Absolu ED,08.05,8.05,2,edp,Men,floral,vanilla amber musk and patchouli,jasmine geranium neroli and ylangylang,5.0,Princess of beauty,3.08,467,floral vanilla amber musk and patchouli jasmine geranium neroli and ylangylang,1
671,DAVIDOFF,Cool Water,360,76.95,125,edt,Men,woody,amber cedar musk oakmoss tobacco,geranium jasmine neroli sandalwood,4.05,hadayiq baris,3.08,122,woody amber cedar musk oakmoss tobacco geranium jasmine neroli sandalwood,1
677,HUGO BOSS,Natural Spray,595,140.0,75,edp,Women,oriental,apricot amber lemon tree,bulgarian rose jasmine lily,4.0,Parisian Store,3.09,425,oriental apricot amber lemon tree bulgarian rose jasmine lily,1
681,Calvin Klein,Sheer Beauty Essence,415,167.95,100,edt,Women,floral,musk vanilla cedar,lilac magnolia turkish rose peony,4.05,noon100 %  genuine product,4.02,98.1K,floral musk vanilla cedar lilac magnolia turkish rose peony,1
683,DORALL COLLECTION,Oud Wood,19,9.09,100,pdt,Unisex,citrus,cedar tobacco patchouli sandalwood musk,geranium marigold rose bay leaves,4.03,B.A.G,3.07,14.1K,citrus cedar tobacco patchouli sandalwood musk geranium marigold rose bay leaves,1
684,Mancera,Rose Greedy,446,269.0,120,edp,Unisex,rose floral,white musk amber vanilla sugar,rose jasmine flowers,4.05,AMLAQ,3.09,135,rose floral white musk amber vanilla sugar rose jasmine flowers,1
692,J.CASANOVA,Paris Vivaldi,90,90.0,100,edp,Women,fruity,cedar moss musk amber and sandalwood,lilyofthevalley rose jasmine narcissus and orchid,3.0,Grass gulf,454.0,9,fruity cedar moss musk amber and sandalwood lilyofthevalley rose jasmine narcissus and orchid,1
694,LACOSTE,Essential,336,148.65,125,edt,Men,citrus,sandalwood and patchouli,pepper and rose,3.03,AMLAQ,3.09,135,citrus sandalwood and patchouli pepper and rose,1
696,Rasasi,Shuhrah,77.95,77.95,90,edp,Men,floral,amber musk oakmoss agarwood leathery,rose sandalwood cedarjasmine,5.0,VIP.PARFUME,3.07,23,floral amber musk oakmoss agarwood leathery rose sandalwood cedarjasmine,1
711,NINA RICCI,Mademoiselle Ricci,206,117.0,50,edp,Women,floral,white wood musk amber cedar and violet,nerium oleander rose hip and laurels,4.05,AMLAQ,3.09,135,floral white wood musk amber cedar and violet nerium oleander rose hip and laurels,1
723,Rasasi,Oud Al Misk,59,59.0,100,edp,Women,oriental,cedar vetiver patchouli sandalwood ambergris and musk,geranium and jasmine,3.0,hawas,454.0,9,oriental cedar vetiver patchouli sandalwood ambergris and musk geranium and jasmine,1
731,Franck Olivier,Oud Touch,163,85.0,100,edp,Men,woody,amber musk vanilla,violet patchouli rose jasmine olibanum,4.07,Beautiful Live,3.09,7,woody amber musk vanilla violet patchouli rose jasmine olibanum,1
742,Guerlain,L'Homme Ideal,06.05,6.05,1,edt,Men,floral,vanilla amber musk and patchouli,jasmine geranium neroli and ylangylang,5.0,Princess of beauty,3.08,467,floral vanilla amber musk and patchouli jasmine geranium neroli and ylangylang,1
744,Lattafa,Rouat Al Musk,68,38.95,100,edp,Women,oriental,vanilla and amber,jasmine white flowers and sandalwood,4.08,noon,4.02,98.1K,oriental vanilla and amber jasmine white flowers and sandalwood,1
745,Mancera,Wild Leather,320,224.0,120,edp,Unisex,woody,amber guaiac wood leather lichen musk,bulgarian rose patchouli violet,4.04,noon,4.02,98.1K,woody amber guaiac wood leather lichen musk bulgarian rose patchouli violet,1
746,Misk Perfumes,White Musk Perfume,05.35,5.35,6,oil,Unisex,musk,tail rose,vanilla flowers,3.08,warddah,3.07,56,musk tail rose vanilla flowers,1
747,Alina Corel,Monsieur Coco Vanilla,65,31.85,100,edp,Unisex,floral,white musk woody notes madagascar vanilla,jasmine ylangylang tiare flower,4.07,noon,4.02,98.1K,floral white musk woody notes madagascar vanilla jasmine ylangylang tiare flower,1
749,DORALL COLLECTION,Golden Blaze,11,11.0,100,edp,Women,musk,musk patchouli amber,ylangylang jasmine,4.03,top langri,3.07,347,musk musk patchouli amber ylangylang jasmine,1
768,Estee Lauder,Wood Mystique,784,479.0,100,edp,Unisex,woody,patchouli virginia cedar benzoin agarwood leather raspberry,iris jasmine ylangylang rose mimosa,5.0,Alabeer,4.0,5,woody patchouli virginia cedar benzoin agarwood leather raspberry iris jasmine ylangylang rose mimosa,1
770,ARMAND BASI,In Red,275,107.95,100,edt,Women,citrus,palisander rosemary oakmoss white musk amber vanilla praline woody notes,lily jasmine violet leaf rose blackcurrant pink pepper peony,4.05,Parvant Store,3.09,76,citrus palisander rosemary oakmoss white musk amber vanilla praline woody notes lily jasmine violet leaf rose blackcurrant pink pepper peony,1
783,J.CASANOVA,Plaisir,148,75.75,100,edp,Women,oriental,amber,musk,4.08,top langri,4.02,347,oriental amber musk,1
785,Calvin Klein,CK One,265,98.0,200,edt,Unisex,citrus,sandalwood amber musk cedar and oakmoss,nutmeg violet orris root jasmine lilyofthevalley and rose,4.05,noon,4.02,98.1K,citrus sandalwood amber musk cedar and oakmoss nutmeg violet orris root jasmine lilyofthevalley and rose,1
795,Milton Lloyd,Hawaii London,51,23.0,55,edt,Women,floral,woody notes and musk,jasmine and rose,4.0,hawas,4.02,9,floral woody notes and musk jasmine and rose,1
811,AVON,Today Tomorrow Always,98.95,98.95,75,edt,Men,citrus,sandalwood patchouli amber,anise,5.0,Victoria,3.06,30,citrus sandalwood patchouli amber anise,1
817,AMOUAGE,Epic,653,653.0,100,edp,Women,jasmine,rose geranium jasmine tea,rose geranium jasmine tea,4.03,Beautiful Live,412.0,7,jasmine rose geranium jasmine tea rose geranium jasmine tea,1
827,TESORI D´ORIENTE,White Musk,60,39.95,100,edt,Men,woody,aldehyde jasmine white flowers,rose,4.02,B.A.G,3.08,14.1K,woody aldehyde jasmine white flowers rose,1
828,STELLA MCCARTNEY,Stella,460,197.95,100,edp,Women,floral,amber,rose,4.08,noon,4.02,98.1K,floral amber rose,1
838,Guerlain,L'Instant Magic,725,422.0,100,edp,Women,woody,wood almond,rose freesia,4.07,PARFUM.1990,3.05,33,woody wood almond rose freesia,1
839,Lattafa,Rouat Al Musk,68,38.95,100,edp,Women,oriental,vanilla and amber,jasmine white flowers and sandalwood,4.08,noon,4.02,98.1K,oriental vanilla and amber jasmine white flowers and sandalwood,1
841,TRI,En Joy,10,9.09,100,edt,Women,floral,sandalwood cedar patchoulli musk benzoin,rose jasmine cassis peach,4.01,Parisian Store,3.09,425,floral sandalwood cedar patchoulli musk benzoin rose jasmine cassis peach,1
842,Mancera,Roses Greedy,450,258.95,120,edp,Unisex,floral,white musk amber vanilla sugar benzoin,rose jasmine flowers,4.06,noon,4.02,98.1K,floral white musk amber vanilla sugar benzoin rose jasmine flowers,1
845,DORALL COLLECTION,Oud Maaruf,29,11.49,100,edt,Men,arabian,sandalwood musk woody  amber patchouli oudh dry woodyamber amber,rose raspberry dried fruits ylang geranium jasmin orris muguet saffron,4.0,B.A.G,4.02,14.1K,arabian sandalwood musk woody  amber patchouli oudh dry woodyamber amber rose raspberry dried fruits ylang geranium jasmin orris muguet saffron,1
849,Mancera,Roses Vanille,450,285.0,120,edp,Women,arabian,cedar vanilla sugar white musk,rose sugar,4.09,AMLAQ,3.09,135,arabian cedar vanilla sugar white musk rose sugar,1
850,Mancera,Roses Vanille,450,239.95,120,edp,Women,arabian,vanilla sugar white musk cedar,rose sugar,4.07,noon,4.02,98.1K,arabian vanilla sugar white musk cedar rose sugar,1
856,Alina Corel,Monsieur Oud,51,30.95,100,edp,Unisex,musk,cedar musk,rose water,4.05,noon,4.02,98.1K,musk cedar musk rose water,1
869,ARMAND BASI,In Red,275,107.95,100,edt,Women,citrus,palisander rosemary oakmoss white musk amber vanilla praline woody notes,lily jasmine violet leaf rose blackcurrant pink pepper peony,4.05,Parvant Store,4.01,76,citrus palisander rosemary oakmoss white musk amber vanilla praline woody notes lily jasmine violet leaf rose blackcurrant pink pepper peony,1
882,Niya,Hawaiian Musk,99,49.0,100,edp,Men,woody,musk oakmoss vanilla,moroccan jasmine patchouli birch rose,4.05,noon,4.02,98.1K,woody musk oakmoss vanilla moroccan jasmine patchouli birch rose,1
883,Genie Collection,Premium,35,14.05,25,edp,Unisex,oriental,amber patchouli and musk,tuberose ylangylang and jasmine,5.0,Genie collection,3.08,32,oriental amber patchouli and musk tuberose ylangylang and jasmine,1
884,GUESS,Homme,210,98.0,100,edt,Men,spicy,patchouli sandalwood amber and musk,vanilla orchid violet leaves and vetiver,4.04,Star.perfume,3.05,537,spicy patchouli sandalwood amber and musk vanilla orchid violet leaves and vetiver,1
886,Niya,Prive Maison Sandalwood,247,99.0,100,edp,Men,woody,sandalwood vanilla musk,muguet violet tuberose,4.07,noon,4.02,98.1K,woody sandalwood vanilla musk muguet violet tuberose,1
890,J.CASANOVA,Plaisir,148,75.75,100,edp,Women,oriental,amber,musk,4.08,top langri,4.03,347,oriental amber musk,1
894,Calvin Klein,CK One,265,98.0,200,edt,Unisex,citrus,sandalwood amber musk cedar and oakmoss,nutmeg violet orris root jasmine lilyofthevalley and rose,4.05,noon,4.02,98.1K,citrus sandalwood amber musk cedar and oakmoss nutmeg violet orris root jasmine lilyofthevalley and rose,1
900,Elizabeth Taylor,White Diamonds,220,118.85,100,edt,Women,floral,oak moss patchouli musk sandalwood and amber,violet rose jasmine and ylangylang,4.03,noon,4.02,98.1K,floral oak moss patchouli musk sandalwood and amber violet rose jasmine and ylangylang,1
912,GUESS,Dare,170,75.0,100,edt,Women,citrus,coconut accords wood musk,wild rose elegant jasmine,4.09,noon,4.02,98.1K,citrus coconut accords wood musk wild rose elegant jasmine,1
914,BURBERRY,For Women EDP Natural Sp,378,153.75,100,edp,Women,fruity,musk and vanilla,woodyfloral sandalwood and cedar,4.08,noon,4.02,98.1K,fruity musk and vanilla woodyfloral sandalwood and cedar,1
916,JOVAN,Musk Cologne Sp,55,19.0,59,edt,Women,woody,musk amber wood,ylangylang,4.07,Cute,3.07,1.9K,woody musk amber wood ylangylang,1
922,Mancera,Red Tobacco,590,340.0,120,edp,Men,woody,precious tobacco amber woody notes vetiver vanilla pods and white musk,patchouli leaves jasmine,4.07,Faces,3.07,61,woody precious tobacco amber woody notes vetiver vanilla pods and white musk patchouli leaves jasmine,1
931,GUESS,Dare,170,75.0,100,edt,Women,citrus,coconut accords wood musk,wild rose elegant jasmine,4.09,noon,3.07,98.1K,citrus coconut accords wood musk wild rose elegant jasmine,1
933,BURBERRY,For Women EDP Natural Sp,378,153.75,100,edp,Women,fruity,musk and vanilla,woodyfloral sandalwood and cedar,4.08,garmid,3.07,98,fruity musk and vanilla woodyfloral sandalwood and cedar,1
935,JOVAN,Musk Cologne Sp,55,19.0,59,edt,Women,woody,musk amber wood,ylangylang,4.07,garmid,3.07,1.9K,woody musk amber wood ylangylang,1
939,HUGO BOSS,Bottled Unlimited,373,126.0,100,edt,Men,vanilla,sandalwood and musk,pineapple and rose,4.04,Al-Najm,3.07,347,vanilla sandalwood and musk pineapple and rose,1
945,TESORI D´ORIENTE,White Musk,60,39.95,100,edt,Men,woody,aldehyde jasmine white flowers,rose,4.02,B.A.G,3.07,14.1K,woody aldehyde jasmine white flowers rose,1
949,Guerlain,L'Instant Magic,725,422.0,100,edp,Women,woody,wood almond,rose freesia,4.07,PARFUM.1990,4.01,33,woody wood almond rose freesia,1
951,BURBERRY,Body Mini ED,34,23.0,5,edt,Women,woody,sandalwood cashmerean musk amber vanilla,rose iris,1.0,Royal Scent,3.05,5,woody sandalwood cashmerean musk amber vanilla rose iris,1
952,TRI,En Joy,10,9.09,100,edt,Women,floral,sandalwood cedar patchoulli musk benzoin,rose jasmine cassis peach,4.01,Parisian Store,4.01,425,floral sandalwood cedar patchoulli musk benzoin rose jasmine cassis peach,1
953,Mancera,Rose Greedy,446,269.0,120,edp,Unisex,rose floral,white musk amber vanilla sugar,rose jasmine flowers,4.05,AMLAQ,3.09,135,rose floral white musk amber vanilla sugar rose jasmine flowers,1
954,DORALL COLLECTION,Oud Maaruf,29,11.49,100,edt,Men,arabian,sandalwood musk woody  amber patchouli oudh dry woodyamber amber,rose raspberry dried fruits ylang geranium jasmin orris muguet saffron,4.0,B.A.G,3.07,14.1K,arabian sandalwood musk woody  amber patchouli oudh dry woodyamber amber rose raspberry dried fruits ylang geranium jasmin orris muguet saffron,1
956,Mancera,Roses Vanille,450,285.0,120,edp,Women,arabian,cedar vanilla sugar white musk,rose sugar,4.09,AMLAQ,3.09,135,arabian cedar vanilla sugar white musk rose sugar,1
957,Mancera,Roses Vanille,450,239.95,120,edp,Women,arabian,vanilla sugar white musk cedar,rose sugar,4.07,noon,4.02,98.1K,arabian vanilla sugar white musk cedar rose sugar,1
960,Alina Corel,Monsieur Oud,51,30.95,100,edp,Unisex,musk,cedar musk,rose water,4.05,noon,4.02,98.1K,musk cedar musk rose water,1
964,DAVIDOFF,Cool Water,150,71.75,75,edt,Men,aromatic,musk oakmoss cedar amber,sandalwood geranium neroli jasmine,4.01,noon,4.02,98.1K,aromatic musk oakmoss cedar amber sandalwood geranium neroli jasmine,1
980,Genie Collection,Premium,35,14.05,25,edp,Unisex,oriental,amber patchouli and musk,tuberose ylangylang and jasmine,5.0,Genie collection,3.07,32,oriental amber patchouli and musk tuberose ylangylang and jasmine,1
984,GUESS,Homme,210,98.0,100,edt,Men,spicy,patchouli sandalwood amber and musk,vanilla orchid violet leaves and vetiver,4.04,Star.perfume,3.09,537,spicy patchouli sandalwood amber and musk vanilla orchid violet leaves and vetiver,1
991,Elizabeth Taylor,White Diamonds,220,118.85,100,edt,Women,floral,oak moss patchouli musk sandalwood and amber,violet rose jasmine and ylangylang,4.03,noon,4.02,98.1K,floral oak moss patchouli musk sandalwood and amber violet rose jasmine and ylangylang,1
998,GUESS,Dare,170,75.0,100,edt,Women,citrus,coconut accords wood musk,wild rose elegant jasmine,4.09,noon,4.02,98.1K,citrus coconut accords wood musk wild rose elegant jasmine,1
999,BURBERRY,For Women EDP Natural Sp,378,153.75,100,edt,Women,fruity,musk and vanilla,woodyfloral sandalwood and cedar,4.08,noon,4.02,98.1K,fruity musk and vanilla woodyfloral sandalwood and cedar,1
1000,JOVAN,Musk Cologne Sp,55,19.0,59,edt,Women,woody,musk amber wood,ylangylang,4.07,Cute,3.07,1.9K,woody musk amber wood ylangylang,1
1001,SWISS ARABIAN,Layali CPO At,126,77.0,15,edt,Unisex,arabian,agarwood and amber,ylangylang rose and jasmine,4.0,Swiss Arabian PerfumesPRICE UPDATE WITH 15% VAT 1 JULY 2020,3.09,5,arabian agarwood and amber ylangylang rose and jasmine,1
