no,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,combined_notes,cluster
159,GUESS,Gold,341,119.0,75,edp,Women,floral,sandalwood patchouli amber vetiver and sensual musk,jasmine lotus and intoxicating seductress rose,4.09,Beautiful Live,4.02,7,floral sandalwood patchouli amber vetiver and sensual musk jasmine lotus and intoxicating seductress rose,1
165,Franck Olivier,Frank Olivier,139,87.0,75,edp,Women,musk,musk sandalwood vanilla,jasmine ylangylang heliotrope rose,4.07,AMLAQ,3.09,135,musk musk sandalwood vanilla jasmine ylangylang heliotrope rose,1
173,Calvin Klein,Obsession,231,120.0,125,edt,Men,spicy,amber sandalwood patchouli vanilla and musk,brazilian rosewood sage myrrh pine tree and nutmeg,3.0,noon,4.02,98.1K,spicy amber sandalwood patchouli vanilla and musk brazilian rosewood sage myrrh pine tree and nutmeg,1
181,PRADA,Amber Intense,324,321.95,100,edp,Men,spicy,creamy amber,vanilla,4.04,Ryhana Perfume,4.02,25,spicy creamy amber vanilla,1
182,Milton Lloyd,Hawaii London,51,23.0,55,edt,Women,floral,woody notes and musk,jasmine and rose,4.0,hawas,4.02,9,floral woody notes and musk jasmine and rose,1
183,Lattafa,Khalis Pure Oudi,68,37.0,100,edp,Unisex,woody,amber cedar guaiac wood musk vanilla,jasmine sandalwood,4.03,noon,4.02,98.1K,woody amber cedar guaiac wood musk vanilla jasmine sandalwood,1
185,DORALL COLLECTION,Oud Arabi,11.35,11.35,100,pdt,Unisex,woody,patchouli sandalwood musk amber,oudh rose guaiac wood jasmine,3.09,Princess of beauty,3.08,467,woody patchouli sandalwood musk amber oudh rose guaiac wood jasmine,1
187,Mancera,Coco Vanille,446,285.0,120,edp,Women,vanilla,white musk woody notes madagascar vanilla,jasmine ylangylang tiare flower,5.0,AMLAQ,3.09,135,vanilla white musk woody notes madagascar vanilla jasmine ylangylang tiare flower,1
191,AMOUAGE,Gold,1376,904.85,100,edp,Women,woody,ambergris civet musk cedar wood sandalwood,myrrh orris jasmine,4.04,Parvant Store,3.08,76,woody ambergris civet musk cedar wood sandalwood myrrh orris jasmine,1
195,J.CASANOVA,Pandora,142,88.95,100,edp,Women,floral,cedar moss musk amber and sandalwood,lilyofthevalley rose jasmine narcissus and orchid,5.0,noon,4.02,98.1K,floral cedar moss musk amber and sandalwood lilyofthevalley rose jasmine narcissus and orchid,1
