no,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,combined_notes,cluster
7,DORALL COLLECTION,Gold Secret,43,12.35,100,edt,Men,fruity,labdanum and musk,lavender and cloves,2.09,B.A.G,3.07,14.1K,fruity labdanum and musk lavender and cloves,2
11,Calvin Klein,IN 2 U MEN,152,85.0,100,edt,Men,citrus,white musk vetiver and cedar,cacao pod,3.07,AMLAQ,3.09,135,citrus white musk vetiver and cedar cacao pod,2
33,Rasasi,Al Wisam Day,177,76.0,100,edp,Men,oriental,oak moss and rich and musty oud,amber nuanced clary sage soft and milky sandalwood and woody cedarwood,4.03,hadayiq baris,3.08,122,oriental oak moss and rich and musty oud amber nuanced clary sage soft and milky sandalwood and woody cedarwood,2
47,GIORGIO ARMANI,Stronger With You,415,170.0,100,edt,Men,vanilla,vanilla chestnut cedar amber wood guaiac wood,pineapple sage melon cinnamon lavender,4.05,hadayiq baris,3.08,122,vanilla vanilla chestnut cedar amber wood guaiac wood pineapple sage melon cinnamon lavender,2
49,HERMES,Terre D'Hermes,15,9.55,2,edt,Men,citrus,patchouli cedar vetiver and benzoin,pepper and pelargonium,5.0,beautiful lady,3.08,23,citrus patchouli cedar vetiver and benzoin pepper and pelargonium,2
63,BURBERRY,Mr. Burberry,515,179.95,100,edp,Men,woody,patchouli amber sandalwood vetiver benzoin and cinnamon,lavender cedar nutmeg,4.05,noon,4.02,98.1K,woody patchouli amber sandalwood vetiver benzoin and cinnamon lavender cedar nutmeg,2
66,BURBERRY,Mr. Burberry,295,200.0,100,edp,Men,woody,patchouli amber sandalwood vetiver benzoin cinnamon,lavender cedar nutmeg,5.0,Star.perfume,3.09,537,woody patchouli amber sandalwood vetiver benzoin cinnamon lavender cedar nutmeg,2
69,UNITED COLORS OF BENETTON,Cold,51,27.95,100,edt,Women,spicy,amber frankincense musk patchouli vanilla vetiver,coriander cumin pimiento,4.0,top langri,4.02,347,spicy amber frankincense musk patchouli vanilla vetiver coriander cumin pimiento,2
75,HUGO BOSS,Dark Blue,159,129.0,75,edt,Men,citrus,benzoin olibanum patchouli and suede,pelargonium cypress and sage,4.05,Diorworld,3.06,30,citrus benzoin olibanum patchouli and suede pelargonium cypress and sage,2
78,DORALL COLLECTION,Molto Carina,27,8.55,100,edt,Women,woody,musk lactone woody amber,tropical fruits peach jasmin water,4.0,B.A.G,3.07,14.1K,woody musk lactone woody amber tropical fruits peach jasmin water,2
80,PACO RABANNE,1 Million,395,173.0,100,edt,Men,woody,indian patchouli amber woody notes and leather,rose absolute musk and cinnamon bark,3.08,Al-Najm,3.07,347,woody indian patchouli amber woody notes and leather rose absolute musk and cinnamon bark,2
93,MONTBLANC,Emblem Absolu,395,116.0,100,edt,Men,spicy,patchouli vetiver and moss,pink pepper lavender fruits and honey,4.07,Modon,3.09,537,spicy patchouli vetiver and moss pink pepper lavender fruits and honey,2
109,Dior,Sauvage,1176,240.85,100,edt,Men,fresh,cedar labdanum ambroxan,geranium lavender sichuan pepper elemi pink pepper vetiver patchouli,3.08,ثروة الجمال,3.09,61,fresh cedar labdanum ambroxan geranium lavender sichuan pepper elemi pink pepper vetiver patchouli,2
111,Dupont,Passenger,95,95.0,100,edt,Men,woody,guaiac wood benzoin,ginger cardamom pink pepper and lavender,4.05,Beautiful Live,412.0,7,woody guaiac wood benzoin ginger cardamom pink pepper and lavender,2
113,Calvin Klein,Euphoria,220,91.95,100,edt,Men,woody,amber patchouli brazilian redwood suede,black basil sage cedar,5.0,noon,4.02,98.1K,woody amber patchouli brazilian redwood suede black basil sage cedar,2
130,Calvin Klein,Euphoria Intense,440,99.0,100,edt,Men,spicy,cashmere woods madagascar vanilla burnt amber and australian sandalwood,black basil sage cedar vetiver,4.02,Al-Najm,3.07,347,spicy cashmere woods madagascar vanilla burnt amber and australian sandalwood black basil sage cedar vetiver,2
137,Calvin Klein,Intense Euphoria,290,109.95,100,edt,Men,spicy,labdanum amber patchouli agarwood myrrh,black basil sage cedar vetiver,4.04,noon,4.02,98.1K,spicy labdanum amber patchouli agarwood myrrh black basil sage cedar vetiver,2
139,HERMES,Terre D' Hermes,474,173.0,100,edt,Men,citrus,woody notes patchouli and cedar,geranium,3.09,Boutique Wareef,4.02,98.1K,citrus woody notes patchouli and cedar geranium,2
144,LALIQUE,Lalique,541,249.0,100,edp,Women,woody,white musksandalwoodvanilla,blackberrycassispear,4.04,Faces,3.09,61,woody white musksandalwoodvanilla blackberrycassispear,2
149,PACO RABANNE,One Million,426,287.95,200,edt,Men,woody,blonde leather patchouli white woods amber,rose absolute and cinnamon spices,5.0,noon100  % original genuine product,4.02,98.1K,woody blonde leather patchouli white woods amber rose absolute and cinnamon spices,2
153,Al Fakhr,Ameer Al Oud Khususi,28,12.0,100,edp,Unisex,woody sweet,sandalwood cedarwood,black pepper cardamom,4.01,kikup,3.09,425,woody sweet sandalwood cedarwood black pepper cardamom,2
155,Givenchy,Pour Homme,219,117.0,100,edt,Men,spicy,labdanum ceder,vetiver lavender,4.04,Al-Najm,3.07,347,spicy labdanum ceder vetiver lavender,2
156,Rasasi,Blue,36.95,36.95,100,edt,Men,spicy,amber woody,geranium rose coriander pepper jasmine,5.0,hadayiq baris,3.08,122,spicy amber woody geranium rose coriander pepper jasmine,2
161,LACOSTE,Lacoste,368,115.0,100,edt,Men,citrus,cedar woody notes amber vanilla and musk,black pepper ginger jasmine and almond,4.06,noon,4.02,98.1K,citrus cedar woody notes amber vanilla and musk black pepper ginger jasmine and almond,2
171,Calvin Klein,Intense Euphoria,290,109.95,100,edt,Men,spicy,labdanum amber patchouli agarwood myrrh,black basil sage cedar vetiver,4.04,noon,4.02,98.1K,spicy labdanum amber patchouli agarwood myrrh black basil sage cedar vetiver,2
174,Lattafa,Sheikh Al Shuyukh,63,32.75,50,edp,Unisex,aromatic,vetiver patchouli,lavender sage rosemary,4.08,noon,4.02,98.1K,aromatic vetiver patchouli lavender sage rosemary,2
180,BURBERRY,Brit Splash,278,194.0,100,edt,Men,fresh,moss musk vetiver,cyclamen violet water notes,4.06,Chansles,3.09,33,fresh moss musk vetiver cyclamen violet water notes,2
193,JAGUAR,Classic Amber,87,85.0,100,edt,Men,arabian,cedar wood patchouli vanilla leather vetiver labdanum and musk,cinnamonblack pepperappleorange blossoms and elemi resin,4.03,Abu Al Tayyeb Perfumes,3.09,33,arabian cedar wood patchouli vanilla leather vetiver labdanum and musk cinnamonblack pepperappleorange blossoms and elemi resin,2
199,Al Fakhr,Ameer Al Oud Khususi,28,12.0,100,edp,Unisex,woody sweet,sandalwood cedarwood,black pepper cardamom,4.01,kikup,3.06,425,woody sweet sandalwood cedarwood black pepper cardamom,2
209,LACOSTE,Lacoste,368,115.0,100,edt,Men,citrus,cedar woody notes amber vanilla and musk,black pepper ginger jasmine and almond,4.06,noon,4.02,98.1K,citrus cedar woody notes amber vanilla and musk black pepper ginger jasmine and almond,2
219,Rasasi,Blue,53,35.0,100,edt,Men,spicy,amber woody,coriander geranium jasmine rose and pepper,4.03,hawas,4.02,9,spicy amber woody coriander geranium jasmine rose and pepper,2
220,Dunhill,Desire Silver,192,118.95,100,edt,Men,floral,birch vetiver amber,water notes violet leaf cardamom,5.0,noon,4.02,98.1K,floral birch vetiver amber water notes violet leaf cardamom,2
223,GUCCI,Guilty Absolute,515,299.85,90,edp,Men,woody,woody notes and vetiver,patchouli and cypress,4.03,noon,4.02,98.1K,woody woody notes and vetiver patchouli and cypress,2
230,CARTIER,Declaration,390,240.0,100,edp,Men,fruity,cedar leather amberwood benzointolu  balsam vetiver,cardamom spices cumin,5.0,PARFUM.1990,3.06,111,fruity cedar leather amberwood benzointolu  balsam vetiver cardamom spices cumin,2
231,Marbert,Man,51.95,51.95,125,edt,Men,woody,musk sandalwood patchouli oak moss virginia cedar amber and leather,geraniumjasminelily of the valleymajorjamcoriandernutmeg,5.0,neo lek,3.05,88,woody musk sandalwood patchouli oak moss virginia cedar amber and leather geraniumjasminelily of the valleymajorjamcoriandernutmeg,2
232,Calvin Klein,One Shock,176,106.0,200,edt,Men,spicy,musk patchouli amber and tobacco,black pepper lively black basil and resinous cardamom,5.0,Dior Fragrances,3.09,69,spicy musk patchouli amber and tobacco black pepper lively black basil and resinous cardamom,2
237,LACOSTE,Blanc Pour Homme,356,95.0,100,edt,Men,woody,leather suede and cedar,mexican tuberose and ylangylang,5.0,Cute Shop,3.09,537,woody leather suede and cedar mexican tuberose and ylangylang,2
240,Givenchy,Dahlia Divin Nude,549,300.0,75,edp,Women,fresh,rose vanilla ginger,pine cardamom lavender rosemary,4.05,Beautify,3.06,531,fresh rose vanilla ginger pine cardamom lavender rosemary,2
241,Dolce & Gabbana,The One,299,190.0,100,edt,Men,spicy,ambery cedar wood,cardamom ginger,4.07,hadayiq baris,3.08,122,spicy ambery cedar wood cardamom ginger,2
245,CAROLINA HERRERA,Ch Men Sports,285,115.0,50,edt,Men,woody,sandalwood oak moss and vetiver,sea notes mixed with spices and aromatic accords  sichuan pepper and juniper berries,4.03,Pink Box,4.02,7,woody sandalwood oak moss and vetiver sea notes mixed with spices and aromatic accords  sichuan pepper and juniper berries,2
251,Givenchy,Blue Label,380,143.85,100,edt,Men,spicy,cedar olibanum and vetiver,cardamom lavender and pepper,4.08,hadayiq baris,3.08,122,spicy cedar olibanum and vetiver cardamom lavender and pepper,2
253,LALIQUE,Encre Noire,140,136.0,100,edt,Men,woody,musk cashmere wood,haitian and bourbon vetiver,4.05,Abu Al Tayyeb Perfumes,3.06,76,woody musk cashmere wood haitian and bourbon vetiver,2
255,PACO RABANNE,Black XS,429,310.0,100,edt,Men,woody,black amber and patchouli,praline and cinnamon,4.03,Parfume-Stor,3.09,61,woody black amber and patchouli praline and cinnamon,2
256,AZZARO,Pour Homme,225,133.0,100,edt,Men,woody,leather tonka bean amber musk oakmoss,sandalwood juniper berries patchouli vetiver cedar cardamom,5.0,Instant,3.07,44,woody leather tonka bean amber musk oakmoss sandalwood juniper berries patchouli vetiver cedar cardamom,2
267,joop,Go,175,103.95,100,edt,Men,fresh,musk and balsam fir,cypress violet and bourbon geranium,4.04,Abu Al Tayyeb Perfumes,3.06,111,fresh musk and balsam fir cypress violet and bourbon geranium,2
268,Jacques Bogart,Silver Scent,140,55.0,100,edt,Men,arabian,vetiver litchi tonka bean and teak wood,cardamom rosemary nutmeg lavender coriander and geranium,4.05,Lady Style,4.03,88,arabian vetiver litchi tonka bean and teak wood cardamom rosemary nutmeg lavender coriander and geranium,2
273,Jimmy Choo,jimmy,329,185.0,100,edt,Men,fruity,amber patchouli suede,geranium pineapple leaf pink pepper,4.04,Star.perfume,3.09,537,fruity amber patchouli suede geranium pineapple leaf pink pepper,2
274,MONTBLANC,Explorer,12,9.05,2,edp,Men,woody,vetiver leather cedarwood,patchouli mahonial ambrofix,4.08,Princess of beauty,3.08,467,woody vetiver leather cedarwood patchouli mahonial ambrofix,2
280,jil sander,Jil Sander,310,175.0,125,edt,Men,spicy,oakmoss cedar nutmeg woody notes,carnation geranium cinnamon patchouli,5.0,hadayiq baris,3.08,122,spicy oakmoss cedar nutmeg woody notes carnation geranium cinnamon patchouli,2
285,HUGO BOSS,Hugo Boss,214,95.0,125,edt,Men,fresh,patchouli fir cedar,carnation sage geranium jasmine,4.05,Cute Shop,4.02,425,fresh patchouli fir cedar carnation sage geranium jasmine,2
288,HUGO BOSS,Hugo,395,115.0,125,edt,Men,aromatic,cedar wood fir patchouli,carnation geranium jasmine sage,4.02,Grass gulf,3.05,135,aromatic cedar wood fir patchouli carnation geranium jasmine sage,2
289,Calvin Klein,One Shock,177,102.0,200,edt,Men,spicy,amber patchouli woodsy notes musk,cardamom pepper basil osmanthus,4.07,AMLAQ,3.09,135,spicy amber patchouli woodsy notes musk cardamom pepper basil osmanthus,2
291,GIORGIO ARMANI,Eau De Cedre,1204,470.0,100,edt,Men,woody,suede cedar essence black tea woody notes,violet leaf cardamom and cumin,4.07,MOON LIGHT,3.08,76,woody suede cedar essence black tea woody notes violet leaf cardamom and cumin,2
301,VERSACE,Oud Noir,500,260.0,100,edp,Men,woody,agarwood patchouli leatherwood,cardamom saffron olibanum,4.05,Lady Style,4.02,124,woody agarwood patchouli leatherwood cardamom saffron olibanum,2
315,PRADA,Milano Infusion D'iris,500,338.0,100,edp,Women,woody,incense and benzoin,iris cedar and vetiver,5.0,Shopping life,4.02,20,woody incense and benzoin iris cedar and vetiver,2
326,BVLGARI,Aqva Marine Pour Homme,331,163.95,100,edt,Men,citrus,virginia cedar amber,seaweed rosemary water notes,4.08,hadayiq baris,3.08,122,citrus virginia cedar amber seaweed rosemary water notes,2
328,Jacques Bogart,Silver Scent,140,55.0,100,edt,Men,arabian,vetiver litchi tonka bean and teak wood,cardamom rosemary nutmeg lavender coriander and geranium,4.05,Lady Style,3.06,88,arabian vetiver litchi tonka bean and teak wood cardamom rosemary nutmeg lavender coriander and geranium,2
