no,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,combined_notes,cluster
338,LANVIN,Lanvin,139,113.0,100,edt,Men,woody,sandalwood amber musk vanilla,pepper mint sage cardamom,5.0,Chansles,3.09,33,woody sandalwood amber musk vanilla pepper mint sage cardamom,2
345,HUGO BOSS,Hugo,395,115.0,125,edt,Men,aromatic,cedar wood fir patchouli,carnation geranium jasmine sage,4.02,Grass gulf,3.07,135,aromatic cedar wood fir patchouli carnation geranium jasmine sage,2
346,Calvin Klein,Euphoria Intense,99.95,99.95,100,edt,Men,spicy,amber patchouli agarwood myrrh labdanun,black basil sage cedar vetiver,5.0,hadayiq baris,3.08,122,spicy amber patchouli agarwood myrrh labdanun black basil sage cedar vetiver,2
347,MONTBLANC,Legend Spirit,342,140.0,100,edt,Men,citrus,white musk white woods cashmere wood oakmoss,water notes lavender cardamom,4.07,hadayiq baris,3.08,122,citrus white musk white woods cashmere wood oakmoss water notes lavender cardamom,2
351,LOEWE,Esencia Pour Homme,514,177.0,150,edt,Men,woody,tonka bean leather sandalwood fir amber patchouli musk oakmoss vetiver cedar and styrax,clary sage nutmeg basil jasmine neroli lilyofthevalley rose pine tree needles geranium and black currant,5.0,Pinch Of Perfum,4.02,32,woody tonka bean leather sandalwood fir amber patchouli musk oakmoss vetiver cedar and styrax clary sage nutmeg basil jasmine neroli lilyofthevalley rose pine tree needles geranium and black currant,2
379,TRUSSARDI,Uomo,230,138.85,100,edt,Men,spicy,leather moss patchouli,clary sage violet,5.0,noon100% Genuine Product,4.02,98.1K,spicy leather moss patchouli clary sage violet,2
380,DORALL COLLECTION,DC Marine Noir,29,9.07,100,edt,Men,floral,incense amber cedar vetiver patchouli musk,water sage rosemary,3.04,B.A.G,3.07,14.1K,floral incense amber cedar vetiver patchouli musk water sage rosemary,2
385,BENTLEY,Absolute,200,154.0,100,edp,Men,woody,moss agarwood amber atlas cedar,olibanum papyrus sandalwood,5.0,Nawaem_perfumes,3.09,69,woody moss agarwood amber atlas cedar olibanum papyrus sandalwood,2
392,RALPH LAUREN,Polo Blue,465,327.0,125,edp,Men,woody,vetiver,blue orris accord,4.07,top langri,3.09,347,woody vetiver blue orris accord,2
411,Al Fakhr,Shiyoukh Al Oud,08.09,8.09,100,edp,Unisex,woody musky,sandalwood cedarwood,black pepper cardamom,4.05,Bismat Eatar,3.07,66,woody musky sandalwood cedarwood black pepper cardamom,2
428,COACH,New York Platinum,11,7.09,2,edp,Men,oriental,patchouli and vanilla leather,aromatic accords,4.05,Princess of beauty,3.08,467,oriental patchouli and vanilla leather aromatic accords,2
432,Guerlain,Vetiver,426,174.0,100,edt,Men,aromatic,vetiver oakmoss leather myrrh civet tonka bean amber,vetiver pepper carnation sage orris root sandalwood,5.0,Nawaem_perfumes,3.09,69,aromatic vetiver oakmoss leather myrrh civet tonka bean amber vetiver pepper carnation sage orris root sandalwood,2
434,Shirley May,Darknet Pour Homme,11.05,11.05,100,edt,Men,woody,musk and moss,anise cardamom and cinnamon,3.0,Beauty Gallery,3.07,59,woody musk and moss anise cardamom and cinnamon,2
437,DAVIDOFF,The Game,147,77.0,100,edt,Men,woody,ebony wood,iris woody notes,5.0,Cute Shop,4.02,98.1K,woody ebony wood iris woody notes,2
438,PACO RABANNE,Ultraviolet,353,165.0,100,edt,Men,woody,indonesian patchouli and oakmoss,tanzanian black pepper and ambergris,4.04,Star.perfume,3.09,537,woody indonesian patchouli and oakmoss tanzanian black pepper and ambergris,2
441,Guerlain,Santal Royal,768,406.0,125,edp,Unisex,arabian,sandalwood leather note amber notes oud muscs note,peach rose cinnamon,5.0,top langri,3.07,347,arabian sandalwood leather note amber notes oud muscs note peach rose cinnamon,2
451,HUGO BOSS,The Scent,426,135.0,100,edt,Men,spicy,leather woody notes,lavender maninka,3.06,Perfume Ms,3.07,537,spicy leather woody notes lavender maninka,2
458,LOEWE,Esencia Pour Homme,514,177.0,150,edt,Men,woody,tonka bean leather sandalwood fir amber patchouli musk oakmoss vetiver cedar and styrax,clary sage nutmeg basil jasmine neroli lilyofthevalley rose pine tree needles geranium and black currant,5.0,Pinch Of Perfum,3.05,32,woody tonka bean leather sandalwood fir amber patchouli musk oakmoss vetiver cedar and styrax clary sage nutmeg basil jasmine neroli lilyofthevalley rose pine tree needles geranium and black currant,2
460,HUGO BOSS,Boss,375,105.0,100,edt,Men,woody,sandalwood vetiver cedarwood and vanilla,geranium cinnamon and cloves,4.07,Acacia Rose,4.08,77,woody sandalwood vetiver cedarwood and vanilla geranium cinnamon and cloves,2
475,LACOSTE,L.12.12 Blanc,108,89.95,100,edt,Men,woody,virginia cedar leather suede vetiver,ylang,5.0,noon,4.02,98.1K,woody virginia cedar leather suede vetiver ylang,2
478,TRUSSARDI,Extreme,462,127.95,100,edt,Men,woody,vetiver and patchouli,fruitygourmand dark plum and powdery iris,5.0,Perfumes-shop,3.09,537,woody vetiver and patchouli fruitygourmand dark plum and powdery iris,2
481,Roberto Cavalli,Paradiso,500,165.0,75,edp,Women,woody,pine tree cypress and laurels,jasmine,4.06,hadayiq baris,3.08,122,woody pine tree cypress and laurels jasmine,2
482,LALIQUE,Encre Noire,165,140.0,100,edt,Men,woody,sandalwood,lemongrass,4.04,kikup,3.09,23,woody sandalwood lemongrass,2
483,AZZARO,Visit,156,106.0,100,edt,Men,woody,gray amber and musk,lebanese cedar guaiac tree and incense,4.03,Beautiful Live,412.0,7,woody gray amber and musk lebanese cedar guaiac tree and incense,2
489,HUGO BOSS,Bottled Intense,426,157.85,100,edp,Men,spicy,sandalwood cedar vetiver vanilla,geranium cloves cinnamon,4.05,AMLAQ,3.09,135,spicy sandalwood cedar vetiver vanilla geranium cloves cinnamon,2
494,Lattafa,Rouat Al Oud,99,45.0,100,edp,Women,spicy,cedarwood patchouli vetiver musk,cardamom spicy notes,5.0,Rihanna World Store,4.04,8,spicy cedarwood patchouli vetiver musk cardamom spicy notes,2
495,Yves Saint Laurent,La Nuit De L`Homme,536,314.0,100,edt,Men,woody,vetiver caraway,bergamot virginia cedar lavender,5.0,The first fragrance,412.0,7,woody vetiver caraway bergamot virginia cedar lavender,2
498,HERMES,Terre D' Hermes,474,173.0,100,edt,Men,citrus,woody notes patchouli and cedar,geranium,3.09,noon,4.02,98.1K,citrus woody notes patchouli and cedar geranium,2
502,BENTLEY,Intense,169,128.0,100,edp,Men,spicy,leather benzoin incense cedar and patchouli,clary sage african geranium cinnamon rum and wood,4.03,Parisian Store,3.09,425,spicy leather benzoin incense cedar and patchouli clary sage african geranium cinnamon rum and wood,2
505,LALIQUE,Encre Noire,485,136.95,100,edt,Men,woody,cashmere wood musk,haitian vetiver,4.05,Parvant Store,3.07,76,woody cashmere wood musk haitian vetiver,2
506,Yves Saint Laurent,Rive Gauche Homme,560,560.0,80,edt,Men,aromatic,gaiac wood,patchouli and vetiver,4.07,Abu Al Tayyeb Perfumes,3.05,63,aromatic gaiac wood patchouli and vetiver,2
528,CHANEL,Bleu De Chanel,920,245.0,100,edt,Men,citrus,labdanum sandalwod patchouli vetiver incense cedar white musk,ginger iso e super nutmeg jasmine,4.08,The smart store,3.07,319,citrus labdanum sandalwod patchouli vetiver incense cedar white musk ginger iso e super nutmeg jasmine,2
536,AZZARO,Visit,310,110.0,100,edt,Men,woody,amber musk,labdanum guaiac wood incense cedar,1.0,Star.perfume,3.09,537,woody amber musk labdanum guaiac wood incense cedar,2
538,CHANEL,Bleu De Chanel,930,374.0,100,edp,Men,woody,incense amber cedar sandalwood patchouli labdanum amber wood,ginger jasmine nutmeg melon,4.07,Perfume Ms,3.09,66,woody incense amber cedar sandalwood patchouli labdanum amber wood ginger jasmine nutmeg melon,2
553,Dolce & Gabbana,The One Royal Night,630,290.75,100,edp,Men,woody,sandalwood cedar amber and labdanum,pear wood and nutmeg,5.0,AMLAQ,3.09,135,woody sandalwood cedar amber and labdanum pear wood and nutmeg,2
554,Givenchy,Xeryus Rouge,259,199.0,100,edt,Men,woody,leather amber musk oakmoss balsam fir vetiver incense and cedar,cyclamen coriander carnation cypress sandalwood juniper berries cinnamon tarragon petitgrain and geranium,4.04,Brides Palace,3.05,32,woody leather amber musk oakmoss balsam fir vetiver incense and cedar cyclamen coriander carnation cypress sandalwood juniper berries cinnamon tarragon petitgrain and geranium,2
560,COACH,New York,05.06,5.06,2,edt,Men,citrus,vetiver suede ambergris,cardamom coriander geranium,4.07,Princess of beauty,3.08,467,citrus vetiver suede ambergris cardamom coriander geranium,2
563,LOEWE,Esencia,529,200.0,100,edt,Men,woody,cedar musk sandalwood,cardamom pepper,4.05,Parfume-Stor,4.03,118,woody cedar musk sandalwood cardamom pepper,2
577,S.T.Dupont,Passenger,294,99.0,100,edt,Men,spicy,paraguayan lignum vitae indonesian patchouli laotian benzoin and copper accords,indian ginger  guatemalan cardamom mauritanian red pepper and lavender,5.0,London store,3.07,23,spicy paraguayan lignum vitae indonesian patchouli laotian benzoin and copper accords indian ginger  guatemalan cardamom mauritanian red pepper and lavender,2
579,HUGO BOSS,Hugo,395,99.0,125,edt,Men,fresh,patchouli fir and cedar,carnation sage geranium and jasmine,4.05,Cute Shop,4.02,98,fresh patchouli fir and cedar carnation sage geranium and jasmine,2
587,LALIQUE,Encre Noire,485,134.95,100,edt,Men,woody,cashmere wood and musk,haiti vetiver and bourbon vetiver,4.05,Abu Al Tayyeb Perfumes,4.02,59,woody cashmere wood and musk haiti vetiver and bourbon vetiver,2
590,Sedr Al-Khaleej Perfumes,For Ever,34.85,34.85,100,edp,Men,fresh,woody musk amber,praline cardamom cinnamon,4.0,noon,4.02,98.1K,fresh woody musk amber praline cardamom cinnamon,2
610,HUGO BOSS,Boss,375,105.0,100,edt,Men,woody,sandalwood vetiver cedarwood and vanilla,geranium cinnamon and cloves,4.07,Acacia Rose,4.04,77,woody sandalwood vetiver cedarwood and vanilla geranium cinnamon and cloves,2
616,Emper,Tool Box,88,54.95,100,edt,Men,oriental,geranium amber white musks,patchouli vetiver lavender,5.0,Golen Dream,3.08,88,oriental geranium amber white musks patchouli vetiver lavender,2
624,TOM FORD,Black Orchid,495,211.0,50,edp,Women,spicy,incenselotuspatchoulisandalwoodvanillavetiver,black orchidfruity notestuberose,5.0,Number One,3.07,347,spicy incenselotuspatchoulisandalwoodvanillavetiver black orchidfruity notestuberose,2
627,HUGO BOSS,Boss Bottled Man Of Today,487,177.0,100,edt,Men,woody,vanilla sandalwood vetiver cedarwood olivewood amberlikenotes musklikenotes,geranium cinnamon cloves,4.01,Acacia Rose,4.04,5,woody vanilla sandalwood vetiver cedarwood olivewood amberlikenotes musklikenotes geranium cinnamon cloves,2
641,Aramis,Brown,161,104.0,110,edt,Men,floral,leather oakmoss amber,pelargonium patchouli vetiver sandalwood,4.0,top langri,3.07,347,floral leather oakmoss amber pelargonium patchouli vetiver sandalwood,2
672,LACOSTE,L.12.12 Blanc,244,88.0,100,edt,Men,woody,leather suede and cedar,mexican tuberose and ylangylang,3.07,hadayiq baris,3.08,122,woody leather suede and cedar mexican tuberose and ylangylang,2
682,DAVIDOFF,The Game,215,83.95,100,edt,Men,woody,ebony wood,iris woody notes,4.09,noon,4.02,98.1K,woody ebony wood iris woody notes,2
686,LACOSTE,Challenge,300,144.95,90,edt,Men,citrus,ginger jasmine juniper nutmeg pepper violet and whisky,amber musk and wood,4.08,Beautiful Live,3.09,7,citrus ginger jasmine juniper nutmeg pepper violet and whisky amber musk and wood,2
699,CHANEL,Bleu De Chanel,920,245.0,100,edt,Men,citrus,labdanum sandalwod patchouli vetiver incense cedar white musk,ginger iso e super nutmeg jasmine,4.08,The smart store,4.01,319,citrus labdanum sandalwod patchouli vetiver incense cedar white musk ginger iso e super nutmeg jasmine,2
701,Arabian Oud,Sheikh Al Shuyukh,54,54.0,100,edp,Men,woody,vetiver and patchouli,lavender sage and rosemary,5.0,VIP.PARFUME,445.0,8,woody vetiver and patchouli lavender sage and rosemary,2
704,CHANEL,Bleu De Chanel,930,374.0,100,edp,Men,woody,incense amber cedar sandalwood patchouli labdanum amber wood,ginger jasmine nutmeg melon,4.07,Perfume Ms,4.01,66,woody incense amber cedar sandalwood patchouli labdanum amber wood ginger jasmine nutmeg melon,2
705,Lattafa,Musk Mood,48,48.0,100,edp,Unisex,woody,musk incense amber resins woody note,patchouli caramel agarwood oud floral notes,5.0,Rihanna World Store,445.0,8,woody musk incense amber resins woody note patchouli caramel agarwood oud floral notes,2
712,JAGUAR,Classic Black,60,60.0,100,edt,Men,aromatic,sandalwood oakmoss tonka beans virginia cedar vetiver musk,cardamom with black tea leaves geranium nutmeg,4.03,perfumes--addresses,4.04,59,aromatic sandalwood oakmoss tonka beans virginia cedar vetiver musk cardamom with black tea leaves geranium nutmeg,2
715,DIESEL,Plus Plus Masculine,50,30.0,75,edt,Men,spicy,vetiver musk sandalwood patchouli oak moss nutmeg clove cinnamon tonka bean and anise,jasmine birch sage cardamom coriander lilyofthevalley violet and green notes,4.05,Attractive perfume,3.08,244,spicy vetiver musk sandalwood patchouli oak moss nutmeg clove cinnamon tonka bean and anise jasmine birch sage cardamom coriander lilyofthevalley violet and green notes,2
727,LALIQUE,Encre Noire,485,134.95,100,edt,Men,woody,cashmere wood and musk,haiti vetiver and bourbon vetiver,4.05,Abu Al Tayyeb Perfumes,3.06,59,woody cashmere wood and musk haiti vetiver and bourbon vetiver,2
729,LALIQUE,Encre Noire,485,136.95,100,edt,Men,woody,cashmere wood musk,haitian vetiver,4.05,Parvant Store,4.01,76,woody cashmere wood musk haitian vetiver,2
753,Al Fakhr,Kalam Al Oud,13.03,13.03,100,edp,Unisex,woody,sandalwood cedarwood,black pepper cardamom,3.03,the beauty,4.01,538,woody sandalwood cedarwood black pepper cardamom,2
767,LANVIN,L'Homme,110,110.0,100,edt,Men,spicy,sandalwood amber musk,comprise pepper mint sage cardamom,5.0,Queen Beauty,3.09,135,spicy sandalwood amber musk comprise pepper mint sage cardamom,2
774,PACO RABANNE,One Million,319,319.0,200,edt,Men,woody,amber leather,cinnamon rose,4.05,Number One,3.05,75,woody amber leather cinnamon rose,2
777,DAVIDOFF,The Game,215,83.95,100,edt,Men,woody,ebony wood,iris woody notes,4.09,noon,4.02,98.1K,woody ebony wood iris woody notes,2
778,HUGO BOSS,Boss The Scent,426,133.0,100,edt,Men,spicy,leather,maninka fruit and lavender,4.06,Perfume Ms,3.09,537,spicy leather maninka fruit and lavender,2
779,SWISS ARABIAN,Bakhoor Al Arais,15,15.0,50,edp,Unisex,arabian,amber palisander rosewood,cedar spicy,4.06,hawas,454.0,9,arabian amber palisander rosewood cedar spicy,2
782,Ferrari,Cedar Essence,360,106.0,100,edp,Men,woody,patchouli and amber,marine and watermelon,4.04,AMLAQ,3.09,135,woody patchouli and amber marine and watermelon,2
